File Name,Date of Petition,Date received,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2024-P-2779-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 10, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Hyman, Phelps & McNamara, P.C. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}",Law firm filing on behalf of an unnamed client :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},"Section 505(j)(2)(C) FDC Act; Section 505(j)(2)(A)(iii) FDC Act; Section 505B(a)(1)(A)(i) FDC Act (PREA); 21 C.F.R. § 314.93; 21 C.F.R. §§ 10.20, 10.30; 21 C.F.R. § 10.33; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}",FDA’s prior denial and determination of suitability for an ANDA for Diclofenac Potassium Tablets 12.5 mg differing in strength from the RLD CATAFLAM :contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8},Declare Diclofenac Potassium Tablets 12.5 mg suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10},"Proposed lower strength supports lowest effective dosing, literature and bioavailability studies show comparable safety and efficacy to higher strengths, EMA precedent confirms acceptability, no new safety or labeling concerns, PREA inapplicable, and categorical environmental exclusion claimed :contentReference[oaicite:11]{index=11}"
FDA-2024-P-2843-0001_Citizen_Petition_from_Zach_Richardson_Redacted.pdf,"June 8, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,Zach Richardson :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},Petition filed by Zach Richardson on his own behalf; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},"21 C.F.R. § 10.30; 21 C.F.R. § 10.30(b); 21 C.F.R. § 25.30; 21 C.F.R. § 25.31; Federal Food, Drug, and Cosmetic Act :contentReference[oaicite:6]{index=6}",FDA’s current policy of not classifying aging as a disease; petitioner seeks issuance of a new regulation to change this :contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8},Issue a regulation classifying aging as a disease :contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10},"Aging drives most chronic diseases and economic burden; scientific evidence links biomarkers and pathways with potential interventions; recognizing aging as a disease would spur R&D, improve healthspan, and reduce healthcare costs, with precedents such as obesity classification noted alongside acknowledgment of possible Social Security impacts :contentReference[oaicite:11]{index=11}"
FDA-2024-P-2846-0001_Petition_for_Reclassification_from_Pyrexar_Medical.pdf,"June 6, 2024 :contentReference[oaicite:1]{index=1}",,Pyrexar Medical Inc. :contentReference[oaicite:3]{index=3},Petition filed directly by Pyrexar Medical Inc.; no separate representative entity :contentReference[oaicite:5]{index=5},"Section 513(e) of the Federal Food, Drug, and Cosmetic Act :contentReference[oaicite:7]{index=7}",FDA’s classification of the BSD‑2000 Hyperthermia System as a Class III medical device :contentReference[oaicite:9]{index=9},Reclassify the BSD‑2000 Hyperthermia System from Class III to Class II under Section 513(e) :contentReference[oaicite:11]{index=11},"Extensive clinical data show the BSD‑2000’s proven safety and efficacy; years of global clinical use confirm low risk; advanced safety features and precise temperature control align with Class II expectations; reclassification would streamline access, cut regulatory costs, broaden adoption, and improve patient outcomes while matching precedents for similar devices "
FDA-2024-P-2885-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 17, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Hyman, Phelps & McNamara, P.C. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}",Law firm submitting on behalf of an unnamed client :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},"Section 505(j)(2)(C) FDC Act; Section 505(j)(2)(A)(iii) FDC Act; Section 505B(a)(1)(A)(i) FDC Act (PREA); 21 C.F.R. § 314.93; 21 C.F.R. §§ 10.20, 10.30; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}",FDA’s determination of suitability for an ANDA for new 200 mg and 300 mg strengths of Olaparib Tablets differing from the RLD strengths :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Declare Olaparib Tablets 200 mg and 300 mg suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"Strengths align with RLD dosing recommendations, reduce tablet burden, raise no new safety or efficacy questions, PREA inapplicable to strength changes, and categorical environmental exclusion claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-2909-0001_Suitability_Petition_from_Hyman__Phelps___McNamara.pdf,"June 17, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Hyman, Phelps & McNamara, P.C. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}",Law firm filing on behalf of an unnamed client :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},"Section 505(j)(2)(C) FDC Act; Section 505(j)(2)(A)(iii) FDC Act; 21 C.F.R. § 314.93; 21 C.F.R. §§ 10.20, 10.30; Section 505B(a)(1)(A)(i) FDC Act (PREA); 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}",FDA’s determination of suitability for an ANDA for new 4 mg and 12 mg Buprenorphine Sublingual Tablet strengths differing from the RLD SUBUTEX :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Declare Buprenorphine Sublingual Tablets 4 mg and 12 mg suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"Strengths match RLD dosing guidance, reduce pill burden, introduce no new safety or efficacy concerns, PREA requirements do not apply to strength changes, and a categorical environmental exclusion is claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-2932-0001_Suitability_Petition_from_Newcastle_Bioscience_LLC.pdf,"June 19, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,Newcastle Bioscience LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},Newcastle Bioscience LLC submitting on behalf of an unnamed client :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},Section 505(j)(2)(C) FDC Act; 21 C.F.R. § 10.30; 21 C.F.R. § 314.93; 21 C.F.R. § 25.31; Pediatric Research Equity Act (PREA) Section 505B; Section 505B(k) FDC Act :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},"FDA’s determination of suitability for an ANDA for Rosuvastatin Calcium Orally Disintegrating Tablets (5 mg, 10 mg, 20 mg, 40 mg) differing in dosage form from the RLD Crestor Tablets :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}","Declare Rosuvastatin Calcium Orally Disintegrating Tablets 5 mg, 10 mg, 20 mg, 40 mg suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","Change limited to dosage form while strengths, dosing schedule, and labeling match RLD; ODT improves patient convenience without new safety or efficacy issues; no clinical concerns raised; pediatric study waiver requested; categorical environmental exclusion claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-2933-0001_Citizen_Petition_from_Chobani_LLC.pdf,"June 18, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Chobani, LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Petition filed directly by Chobani, LLC; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Section 401 FDC Act; 21 C.F.R. § 131.200; 21 C.F.R. § 131.200(b); 21 C.F.R. § 101.4(b)–(c); 21 C.F.R. § 25.30; 21 C.F.R. § 25.31; 21 C.F.R. § 25.32(a) :contentReference[oaicite:6]{index=6},"FDA’s yogurt standard of identity at 21 C.F.R. § 131.200, which currently excludes ultrafiltered nonfat milk as a basic dairy ingredient :contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}",Initiate rulemaking to amend 21 C.F.R. § 131.200 to include ultrafiltered nonfat milk as a basic dairy ingredient in yogurt :contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10},"Ultrafiltered nonfat milk maintains yogurt’s essential qualities, enables modern processing, offers higher protein with lower sugar/lactose, supports consumer demand for lactose‑free/high‑protein foods, harmonizes with FDA nutrition goals and international standards, and raises no new safety, environmental, or economic concerns :contentReference[oaicite:11]{index=11}"
FDA-2024-P-2952-0001_Citizen_Petition_from_Sarah_A__Norring___Redacted.pdf,"June 20, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Sarah A. Norring, Ph.D. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}",Petition filed by Sarah A. Norring on her own behalf; no represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},21 C.F.R. § 10.30; 21 C.F.R. § 314.161; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s determination under 21 C.F.R. § 314.161 regarding whether the listed drug Lunelle was withdrawn for safety or effectiveness reasons :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Conclude that Lunelle (estradiol cypionate/medroxyprogesterone acetate injectable) was not withdrawn from sale for safety or effectiveness reasons :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"Historical evidence shows only syringe recall due to potency uncertainty; vials retained full efficacy, no safety concerns cited; subsequent market withdrawal driven by manufacturing/business decisions rather than safety or effectiveness; therefore, FDA should find the withdrawal not safety‑related :contentReference[oaicite:12]{index=12}"
FDA-2024-P-2955-0001_Citizen_Petition_from_Dsquare_LLC.pdf,"June 18, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,Dsquare LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},Petition filed directly by Dsquare LLC; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},21 C.F.R. § 10.30; 21 C.F.R. § 201; 21 C.F.R. § 201.64; 21 C.F.R. § 201.57 :contentReference[oaicite:6]{index=6},"Current FDA labeling policy for sodium‑containing N‑acetylcysteine drugs used in treating acetaminophen intoxication, which lacks required sodium warnings and black‑box alerts :contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}",Amend labeling of all sodium‑containing N‑acetylcysteine products to add a high‑sodium content warning for the general population and a Black Box Warning for salt‑sensitive patients or those with cardiovascular/CNS disease :contentReference[oaicite:9]{index=9},"Recommended treatment delivers sodium doses far exceeding FDA limits; high acute sodium loads are linked to serious cardiovascular and neurological events and reported fatalities; existing FDA guidelines and the former RLD CETYLEV include such warnings, but current products do not; adding warnings will protect salt‑sensitive and general populations and align labeling with FDA safety standards :contentReference[oaicite:10]{index=10}"
FDA-2024-P-3090-0001_Suitability_Petition_from_Epic_Pharma__LLC__on_beh.pdf,"June 28, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Epic Pharma, LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Epic Pharma, LLC filed the petition as Regulatory Agent on behalf of Humanwell Pharmaceutical US, Inc. :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Section 505(j)(2)(C) FD&C Act; 21 C.F.R. § 314.93; 21 C.F.R. § 10.20; 21 C.F.R. § 10.30; 21 C.F.R. § 25.31; Pediatric Research Equity Act (§ 505B) :contentReference[oaicite:6]{index=6},FDA’s determination of suitability for an ANDA differing in dosage form/strength from the RLD APTIOM—specifically Eslicarbazepine Acetate Oral Suspension 50 mg/mL :contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8},Declare Eslicarbazepine Acetate Oral Suspension 50 mg/mL suitable for submission as an ANDA under § 505(j) :contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10},"Change is limited to converting APTIOM tablets to a ready‑to‑use suspension at an equivalent dosage; labeling, dosing schedule, and safety/efficacy remain unchanged; suspension aids patients who cannot swallow tablets; precedent for approving similar dosage‑form petitions; no new clinical concerns; petitioner seeks PREA waiver and claims categorical environmental exclusion :contentReference[oaicite:11]{index=11}"
FDA-2024-P-3188-0001_Suitability_Petition_from_Lachman_Consulting_Servi.pdf,"July 3, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Lachman Consulting Services, Inc. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Lachman Consulting Services, Inc. filed the petition on behalf of an unnamed client :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Section 505(j)(2)(C) FD&C Act; Section 505B FD&C Act (PREA); 21 C.F.R. § 10.20; 21 C.F.R. § 10.30; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},"FDA’s determination of suitability for an ANDA for a new 1,250 mg/100 mL (12.5 mg/mL) strength of Levetiracetam in Sodium Chloride Injection differing from RLD strengths :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}","Declare Levetiracetam in Sodium Chloride Injection 1,250 mg/100 mL (12.5 mg/mL) suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","Proposed strength is bracketed by existing RLD strengths, reduces medical waste, avoids multiple infusions or compounding, maintains same active ingredient, route, indications, and labeling, introduces no new safety or efficacy concerns, PREA deemed inapplicable, and categorical environmental exclusion claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-3292-0001_Suitability_Petition_from_Felix_Pharmaceuticals_Pv.pdf,"July 10, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,Felix Pharmaceuticals Pvt. Ltd. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},Petition filed directly by Felix Pharmaceuticals Pvt. Ltd.; no represented third party :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},Section 512(n)(3) FD&C Act; 21 C.F.R. § 25.30(h); 21 C.F.R. § 25.21 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s determination of suitability for an abbreviated new animal drug application (ANADA) for a Maropitant Citrate oral solution differing in dosage form from the pioneer CERENIA tablets :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Declare that Maropitant Citrate Oral Solution 40 mg/mL is suitable for submission as an ANADA under Section 512(n)(3) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"Only dosage‑form change—from tablet to oral solution—with same active ingredient, route, and dosage; proposed solution will be bioequivalent, uses excipients already approved for dogs, allows precise weight‑based dosing via calibrated syringes, improves ease of administration, and poses no new safety or efficacy concerns; categorical environmental exclusion claimed :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-3293-0001_Suitability_Petition_from_Newcastle_Bioscience_LLC.pdf,"July 9, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,Newcastle Bioscience LLC :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},Petition filed directly by Newcastle Bioscience LLC; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5},Section 505(j)(2)(C) FDC Act; 21 C.F.R. § 10.30; 21 C.F.R. § 25.31; Pediatric Research Equity Act (§ 505B) :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s determination of suitability for an ANDA for Lacosamide Orally Disintegrating Tablets that differ in dosage form and strengths from the RLD Vimpat tablets :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},"Declare Lacosamide Orally Disintegrating Tablets 25 mg, 37.5 mg, 75 mg, 112.5 mg, 125 mg, and 175 mg suitable for submission as an ANDA under Section 505(j) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","New strengths and ODT form provide flexible dosing (especially for renal/hepatic impairment and pediatrics), facilitate titration to lowest effective dose, remove need for oral solution, offer ease of administration, introduce no new safety or efficacy concerns, seek PREA waiver, and claim categorical environmental exclusion :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-3357-0001_Citizen_Petition_from_Randall_Steinmeyer___Redacte.pdf,Not stated in the petition,,Randall Steinmeyer,None—petitioner appears on his own behalf,"Federal Food, Drug & Cosmetic Act; 21 C.F.R. Part 809 (Medical Devices; Laboratory Developed Tests)",FDA’s delegation of oversight for DNA paternity‑test LDTs to the American Association of Blood Banks (AABB) instead of direct regulation,"Ban LabCorp and DDC’s forged DNA paternity tests, place such tests under direct FDA regulation, remove AABB as regulator, and bar the respondents from marketing LDTs","Tests are alleged forgeries mislabeled as paternity tests; respondents control the market, switched real tests for cheap forgeries, forged expert signatures, lied to FDA about forensic validity, and profit from fraud—creating public‑health and justice risks that require immediate FDA action"
FDA-2024-P-3479-0001_Citizen_Petition_from_Jingwei_Pharmaceutical_Compa.pdf,"July 23, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Jingwei Pharmaceutical Company, Ltd. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Petition submitted directly by Jingwei Pharmaceutical Company, Ltd.; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",21 U.S.C. § 355; 21 C.F.R. § 10.25; 21 C.F.R. § 10.30; 21 C.F.R. § 25.30; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s oversight and approval standards for generic drug manufacturers that use a biocatalytic process to produce sitagliptin active pharmaceutical ingredient (API) :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},"Require such manufacturers to submit (1) a complete certificate of analysis for the biocatalyst, (2) detailed preparation process for the biocatalyst, (3) analytical protocols for residual enzymes and biological impurities, and (4) purging strategies documenting the fate of the biocatalyst :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}","Biocatalytic processes introduce complex enzyme‑related impurities that are hard to detect and purge; inconsistent impurity profiles threaten patient safety, especially for the large diabetic population relying on sitagliptin; many generics lack necessary technology, so stricter information requirements are needed to protect public health :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-3482-0001_Citizen_Petition_from_Qilu_Pharmaceutical__Hainan_.pdf,"July 24, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Qilu Pharmaceutical (Hainan) Co., Ltd. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Petition filed directly by Qilu Pharmaceutical (Hainan) Co., Ltd.; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Sections 505(j) and 505(w) FDC Act; 21 C.F.R. § 10.25(a); 21 C.F.R. § 10.30; 21 C.F.R. § 314.122; 21 C.F.R. § 314.161; 21 C.F.R. § 25.31 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},"FDA’s listing of JESDUVROQ (daprodustat) tablets 1 mg, 2 mg, 4 mg, 6 mg, 8 mg in the Orange Book’s Discontinued Drug Product List and the related withdrawal determination :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}",Determine that JESDUVROQ (daprodustat) tablets 1 mg–8 mg were not withdrawn for reasons of safety or effectiveness :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},Petitioner is unaware of any safety or efficacy issues; believes discontinuation was solely for commercial reasons; a ‘not‑withdrawn‑for‑safety/efficacy’ finding will allow ANDA applicants to cite the drug as the RLD :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}
FDA-2024-P-3484-0001_Petition_for_Reclassification_of_next_generation_s.pdf,"June 28, 2024 :contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",,"Foundation Medicine, Inc. :contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}","Petition filed directly by Foundation Medicine, Inc.; no separate represented entity :contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}",Section 513(f)(3) FD&C Act; Section 513(f)(1) FD&C Act; 21 C.F.R. § 860.123; 21 C.F.R. § 860.134 :contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},FDA’s current classification of next‑generation sequencing oncology panel devices (product code PQP) as Class III medical devices and its announced intent to reclassify IVDs :contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9},Reclassify all NGS oncology panel devices with one or more companion diagnostic indications (product code PQP) from Class III to Class II (high‑risk with special controls) :contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},"Extensive regulatory experience and published data show risks can be mitigated through rigorous special controls; reclassification would preserve safety and effectiveness while improving patient access, ensuring high‑quality genomic testing, and aligning regulation with FDA’s 2024 reclassification initiative for high‑risk IVDs :contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}"
FDA-2024-P-3563-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"July 29, 2024",,"Hyman, Phelps & McNamara, P.C.","Aquestive Therapeutics, Inc.",21 C.F.R. §§ 10.30 and 10.31; section 505(q) of the FDCA,FDA policy not requiring food-effect studies for intranasal products even when the active moiety has a known food effect,Require food-effect studies for intranasal spray products where the active moiety has a known food effect when administered orally; investigate lack of efficacy for such products documented in FDA's Adverse Event Reporting System,"Intranasal products may be partially swallowed and thus subject to food effects that alter pharmacokinetics and efficacy; literature and FAERS data suggest lack of efficacy could be due to unstudied food effects; a food-effect study is simple, quick, and low-cost and could inform safe labeling and use"
FDA-2024-P-3567-0001_Suitability_Petition_from_Lachman_Consulting_Servi.pdf,"July 25, 2024",,"Lachman Consulting Services, Inc.","A client represented by Lachman Consulting Services, Inc. (client identity not disclosed)",Section 505(j)(2)(C) of the FD&C Act; 21 C.F.R. § 10.20; 21 C.F.R. § 10.30,"FDA's lack of approval for lower strength (25 mg, 50 mg, 100 mg) sertraline capsules despite their utility for titration, initiation, and tapering of therapy","Declare that Sertraline Capsules, 25 mg, 50 mg, and 100 mg are suitable for submission in an Abbreviated New Drug Application (ANDA)","The currently approved capsule strengths (150 mg and 200 mg) do not accommodate initial titration or tapering; the proposed lower strengths would enhance dosing flexibility, improve patient adherence, reduce copays during titration, and align with approved labeling recommendations"
FDA-2024-P-3571-0001_Suitability_Petition_from_Premier_Consulting.pdf,"July 29, 2024",,"Premier Research Consulting, LLC",Premier Consulting is submitting on its own behalf; no separate represented entity is named,Section 505(j)(2)(C) of the FD&C Act; 21 CFR § 10.20; 21 CFR § 10.30; 21 CFR § 314.93,FDA’s current limitation of the Reference Listed Drug (LOTREL) to capsule dosage form only,Determine that Amlodipine and Benazepril hydrochloride Oral Liquid is suitable for submission in an Abbreviated New Drug Application (ANDA),"The proposed product differs only in dosage form (oral liquid vs. capsule) while maintaining the same active ingredients, indication, route, and dosing regimen as the RLD; this change facilitates administration, particularly for patients with swallowing difficulties, without introducing new safety or efficacy concerns"
FDA-2024-P-3573-0001_Suitability_Petition_from_Premier_Consulting.pdf,"July 29, 2024",,"Premier Research Consulting, LLC",Premier Consulting is submitting on its own behalf; no separate represented entity is named,Section 505(j)(2)(C) of the FD&C Act; 21 CFR § 10.20; 21 CFR § 10.30; 21 CFR § 314.93,FDA’s limitation of the Reference Listed Drug (ZESTORETIC) to tablet dosage form,Determine that Lisinopril and Hydrochlorothiazide Oral Liquid is suitable for submission in an Abbreviated New Drug Application (ANDA),"The proposed oral liquid formulation maintains the same active ingredients, dosage strengths, route of administration, and indication as the RLD ZESTORETIC; converting the dosage form from tablet to liquid facilitates administration, particularly in populations with swallowing difficulties, without introducing new safety or efficacy concerns"
FDA-2024-P-3699-0001_Citizen_Petition_from_Zydus_Pharmaceuticals__USA__.pdf,"August 2, 2024",,Zydus Pharmaceuticals (USA) Inc.,Zydus Pharmaceuticals (USA) Inc. is submitting on its own behalf; no separate represented entity is named,21 C.F.R. § 10.25(a); 21 C.F.R. § 10.30; 21 C.F.R. § 314.161; 21 C.F.R. § 314.122,"Whether IC-GREEN (indocyanine green for injection, USP) 25 mg has been withdrawn from sale for safety or effectiveness reasons",Request a determination from the FDA as to whether the Reference Listed Drug IC-GREEN 25 mg was withdrawn from sale for reasons of safety or effectiveness,IC-GREEN 25 mg is listed as discontinued in the FDA’s Orange Book and is no longer marketed by Renew Pharmaceuticals Ltd.; a determination is needed to clarify whether the discontinuation was due to safety or effectiveness concerns to support potential ANDA submission
FDA-2024-P-3761-0001_Citizen_Petition_from_Spark_Biomedical__Inc_.pdf,"July 31, 2024",,"Spark Biomedical, Inc.","Spark Biomedical, Inc. is submitting on its own behalf; no separate represented entity is named",Section 3060(a) of the 21st Century Cures Act; Section 201(h) of the FD&C Act,FDA’s lack of enforcement on neurostimulation wellness devices making unapproved medical claims,"Enforce regulation of neurostimulation wellness products making therapeutic claims, remove non-compliant products from the market, and require amended advertising to eliminate misleading medical claims",Neurostimulation wellness devices are being marketed with unsubstantiated claims about treating serious medical conditions without FDA approval; such devices should be regulated as medical devices under existing law to protect public health and ensure consumer safety
FDA-2024-P-3799-0001_Citizen_Petition_from_Raaha_LLC.pdf,"August 7, 2024",,Raaha LLC,Raaha LLC is submitting on its own behalf; no separate represented entity is named,Section 505(j)(2)(C) of the FD&C Act; 21 CFR § 10.20; 21 CFR § 10.30; 21 CFR § 314.92,Approval of ANDAs for Prednisolone Ophthalmic Solution 1% without demonstrating long-term stability under refrigerated conditions,"Require generic applicants to submit long-term stability studies under refrigerated conditions for Prednisolone Ophthalmic Solution 1%, withhold approval of ANDAs lacking such data, and reconsider approval and rating of ANDA #216935 if it lacks these studies","Refrigerated storage is permitted per the RLD labeling; ophthalmic suspensions are sensitive to temperature variations affecting critical quality attributes like particle size and viscosity; lack of stability data under refrigerated conditions could compromise product quality, safety, and efficacy, posing risks to public health"
FDA-2024-P-3820-0001_Citizen_Petition_from_Vanguard_Regulatory_Services.pdf,"August 9, 2024",,"Vanguard Regulatory Services, Inc.","Vanguard Regulatory Services, Inc. is submitting the petition on behalf of Nagase Viita Co., Ltd.","21 C.F.R. § 10.30; 21 C.F.R. § 101.9(c)(6)(i); Sections 403(q), 403(a), 201(n), and 701(a) of the FD&C Act",FDA’s current exclusion of Isomaltodextrin (IMD) from the definition of dietary fiber under 21 C.F.R. § 101.9(c)(6)(i),Amend the definition of dietary fiber in 21 C.F.R. § 101.9(c)(6)(i) to include Isomaltodextrin (IMD/Fibryxa®) as an isolated or synthetic non-digestible carbohydrate with beneficial physiological effects,"Scientific studies show that IMD significantly reduces postprandial blood glucose and triglyceride levels in humans, especially in individuals with elevated responses; thus, IMD provides beneficial physiological effects and meets the criteria for inclusion as a dietary fiber under FDA regulations"
FDA-2024-P-3821-0001_Cover_Letter_for_Suitability_Petition_from_Aurora_.pdf,"August 8, 2024",,"Aurora Pharmaceutical, Inc.","Aurora Pharmaceutical, Inc. is submitting on its own behalf; no separate represented entity is named","Section 512(n)(3) of the Federal Food, Drug, and Cosmetic Act",FDA’s current approval of Nexgard® (afoxolaner) Chewables as the reference listed new animal drug,"Request permission to submit an abbreviated new animal drug application (ANADA) for Afoxolaner Oral Solution 1.84% w/v, differing in dosage form from the reference listed drug",The proposed generic differs only in dosage form from Nexgard® chewables; Aurora seeks approval to proceed with an ANADA for afoxolaner in oral solution form under the suitability provisions of the FD&C Act
