File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2020-P-1582-0001_Citizen_Petition_from_The_Council_for_Responsible_.pdf,"June 16, 2020",The Council for Responsible Nutrition (CRN),No representation of another entity is explicitly mentioned; CRN submitted the petition on its own behalf.,"21 C.F.R. § 10.30, 21 U.S.C. § 321(ff)(3)(B), 21 U.S.C. § 350b, 21 U.S.C. § 342(f), 21 U.S.C. § 331(v), 21 C.F.R. § 190.6",The FDA’s failure to establish a regulatory pathway for the legal marketing of dietary supplements containing hemp-derived cannabidiol (CBD),1) Issue a regulation under 21 U.S.C. § 321(ff)(3)(B) that finds hemp-derived CBD is a lawful dietary ingredient. 2) Provide guidance clarifying when a hemp-derived substance is subject to drug preclusion provisions. 3) Enforce existing dietary supplement regulations with respect to CBD-containing products.,"CRN argues that the FDA already has statutory authority to allow CBD in dietary supplements and that inaction harms public health by creating an unregulated market. They assert that other international regulatory bodies have already deemed certain CBD levels safe and that FDA delay promotes drug market monopolies, ignoring congressional intent and established safety frameworks for supplements."
FDA-2020-P-1601-0001_Citizen_Petition_from_Siri___Glimstad_LLP_on_behal.pdf,"June 17, 2020",Siri & Glimstad LLP,"Yes, submitted on behalf of Del Bigtree and the Informed Consent Action Network (ICAN)",21 C.F.R. § 10.30; 42 U.S.C. § 262(a)(2)(A)-(C); 42 U.S.C. § 262(j); 42 U.S.C. § 300aa-10 et seq.,FDA approval of COVID-19 vaccine clinical trials lacking placebo control groups,Require all Phase II and III COVID-19 vaccine clinical trials to include a saline placebo control group of equal size and monitor participants for adverse effects over extended timeframes,"The petitioner argues that randomized placebo-controlled trials are the scientific gold standard for determining the safety and efficacy of vaccines. They assert that without a saline placebo, identifying vaccine-caused adverse effects is difficult or impossible. The petition emphasizes ethical and scientific issues, especially given the low risk of COVID-19 in children, potential vaccine mandates, and immunity from liability granted to manufacturers"
FDA-2020-P-1605-0001_Citizen_Petition_from_Novitium_Pharma__LLC.pdf,"June 22, 2020",Novitium Pharma LLC,"No, Novitium Pharma LLC submitted the petition on its own behalf",21 C.F.R. § 10.30; 21 C.F.R. § 314.94(a)(3),FDA's designation of a Reference Standard (RS) for Methyltestosterone 10 mg oral capsule,Designate the Methyltestosterone 10 mg oral capsule product manufactured by Impax Laboratories Inc. (ANDA A204851) as the Reference Standard (RS),"The currently listed RS, TESTRED (ANDA A083976, Valeant Pharmaceuticals), is not available on the market, impeding generic development. Impax Laboratories’ product is the only Methyltestosterone 10 mg oral capsule currently available, and designating it as the RS would support generic development, reduce drug costs, and align with the goals of the Hatch-Waxman Act"
FDA-2020-P-1611-0001_Citizen_Petition_from_Public_Citizen_s_Health_Rese.pdf,"June 24, 2020",Public Citizen,Public Citizen’s Health Research Group (no external representation mentioned),"21 U.S.C. §§ 352 and 355(o)(4), 21 C.F.R. §§ 10.30, 201.56, 201.57(c)(1), 201.57(c)(5)","Product labeling of SGLT2 inhibitors, particularly their lack of a boxed warning contraindicating use for type 1 diabetes patients","Require boxed warning in product labeling for all SGLT2 inhibitors stating contraindication in type 1 diabetes and update relevant sections (Contraindications, Warnings and Precautions, Medication Guide, Indications and Usage)",Extensive clinical trial data and postmarketing reports show significantly higher incidence of diabetic ketoacidosis (DKA) in type 1 diabetes patients using SGLT2 inhibitors; current labeling fails to deter off-label use that results in preventable harm
FDA-2020-P-1617-0001_Citizen_Petition_from_E4_Consulting.pdf,"June 24, 2020",E4 Consulting,"Yes, submitted on behalf of a client (the specific client is not named)","21 C.F.R. §§ 10.25(a), 10.30(b), 314.161","FDA's listing of BACTROBAN® (mupirocin calcium) Nasal Ointment, 2% under NDA 050703 as 'Discontinued' in the Orange Book","Request that the FDA determine whether BACTROBAN® (mupirocin calcium) Nasal Ointment, 2% was withdrawn from sale for safety or effectiveness reasons","The product, BACTROBAN Nasal Ointment, 2%, is marked as discontinued in the Orange Book, but the listing does not indicate whether this was due to safety or effectiveness issues. The petitioner argues that a determination is needed to clarify whether this reference listed drug can be cited for future abbreviated new drug applications (ANDAs)"
FDA-2020-P-1626-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"July 1, 2020","Hyman, Phelps & McNamara, P.C.","Yes, the firm submitted the petition on behalf of an unnamed client","21 C.F.R. §§ 10.25(a), 10.30, 314.3; Federal Food, Drug, and Cosmetic Act (FDC Act) § 505(j)","FDA’s omission of Reference Listed Drug (RLD) designation for Vancomycin HCl for Oral Solution, 250 mg (base)/5 mL and 500 mg (base)/6 mL, in the Orange Book","Designate both Vancomycin HCl for Oral Solution, 250 mg (base)/5 mL and 500 mg (base)/6 mL, approved under ANDA 061667, as RLDs and amend the Orange Book accordingly","FDA previously listed ANDA 061667 as an RLD, and failure to re-list it prevents generic submissions, shielding the drug from competition. The petition argues that without this designation, the FDA treats similarly situated products inconsistently, violating the Administrative Procedure Act. The historical context and prior RLD status justify the designation to maintain a viable pathway for generic approvals"
FDA-2020-P-1633-0001_Citizen_Petition_from_Foley_Hoag__LLP__on_behalf_o.pdf,"July 2, 2020",Foley Hoag LLP,Microbiome Therapeutics Innovation Group (MTIG),21 C.F.R. § 10.30,FDA's 2013 and 2016 draft guidance on enforcement discretion regarding investigational new drug (IND) requirements for fecal microbiota transplantation (FMT) to treat Clostridium difficile infection not responsive to standard therapies,Finalize the 2016 draft guidance to require commercial stool banks to operate under an IND; retain physician-directed safe harbor for known donors; provide additional guidance on comprehensive IND framework; reiterate the interim nature of the enforcement discretion policy and revisit it upon drug approval,"The petitioner argues that the original 2013 enforcement policy was meant to be temporary and is now outdated. Continued discretion allows commercial stool banks to distribute FMT products without IND oversight, posing safety risks. Finalizing the 2016 guidance would align regulatory requirements for FMT with other drug and biologic products, mitigate patient risk, especially amid COVID-19, and ensure rigor in screening, manufacturing, and safety reporting."
FDA-2020-P-1641-0001_Citizen_Petition_from_John_J_Coleman_Redacted.pdf,"July 6, 2020",John J. Coleman,No representation; the petition was submitted by John J. Coleman personally,21 C.F.R. § 10.30,FDA’s process and policies regarding the withdrawal of medications from the market based on safety concerns,"Reform the FDA’s drug withdrawal process to include more transparent, evidence-based evaluations and establish an independent review mechanism for withdrawal decisions","The petitioner argues that some past drug withdrawals were based on insufficient scientific evidence or misinterpretation of data, leading to loss of valuable medications. He calls for improved transparency, public access to data, and a formal appeal or review structure to ensure accountability and maintain trust in FDA decisions"
FDA-2020-P-1650-0001_Citizen_Petition_from_Cardinal_Health_Regulatory_S.pdf,"July 9, 2020",Cardinal Health Regulatory Sciences,"No, Cardinal Health submitted the petition on its own behalf","21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161; Section 505(j) of the Federal Food, Drug, and Cosmetic Act","FDA’s listing of DOBUTREX (Dobutamine hydrochloride), EQ 12.5 MG BASE/ML, held by ELI LILLY AND CO., as a discontinued drug in the Orange Book without a determination on whether it was withdrawn for safety or effectiveness reasons","Request that the FDA determine whether DOBUTREX (Dobutamine hydrochloride), EQ 12.5 MG BASE/ML, was withdrawn from sale for reasons of safety or effectiveness","The petitioner states that DOBUTREX was previously listed as a reference listed drug and later withdrawn from the market. However, the FDA has not determined whether the withdrawal was due to safety or effectiveness concerns, which is required for the approval of any ANDA referencing this drug. The petition seeks such a determination to clarify ANDA eligibility"
FDA-2020-P-1653-0001_Citizen_Petition_from_Aurobindo_Pharma_USA__Inc__R.pdf,"July 10, 2020",Aurobindo Pharma Limited,"The petitioner is represented by Blessy Johns, US Agent for Aurobindo Pharma Limited","505(j), 21 C.F.R. 10.25(a), 21 C.F.R. 10.30, 21 C.F.R. 314.93",FDA designation of a suitable alternative reference standard for in vivo bioequivalence studies concerning Carbidopa and Levodopa Tablets,"Request the FDA to designate Sun Pharmaceutical Industries, Inc.'s Carbidopa and Levodopa Tablets 25 mg/250 mg (ANDA 078536) as a new Reference Standard","The current reference standard, SINEMET (NDA 017555), is not sufficiently available in the market, making it inaccessible for in vivo testing. Sun Pharmaceutical's version is a leading product in the market, making it a suitable alternative as a reference standard. The petitioner supports the request with IMS sales data, NDC unavailability statements, and regulatory provisions that allow for such designation."
FDA-2020-P-1674-0001_Citizen_Petition_from_Putting_Rare_Diseases_Patien.pdf,"July 15, 2020",Putting Rare Diseases Patients First!®,"No, the petition was submitted directly by the organization through its Founder and President, Lorna Speid, Ph.D.",21 C.F.R. § 10.30,FDA’s exclusion of Sickle Cell Disease from the Neglected Tropical Disease Priority Review Voucher (PRV) List,Add Sickle Cell Disease to the FDA’s Neglected Tropical Disease Priority Review Voucher List or create a new Priority Review List for diseases impacting underserved and marginalized populations,"Sickle Cell Disease disproportionately affects poor and marginalized populations, primarily in Africa and among African Americans in the U.S. Despite meeting FDA’s criteria for a tropical disease (lack of significant market in developed or developing countries, high disease burden), it is excluded from the list. Including it would incentivize treatment development, align with global health priorities like the WHO and Access to Medicines Index, and address longstanding health disparities"
FDA-2020-P-1678-0001_Citizen_Petition_from_Cardinal_Health_Regulatory_S.pdf,"July 15, 2020",Cardinal Health Regulatory Sciences,Cardinal Health Regulatory Sciences is submitting on behalf of a client (not named in the document),"21 CFR 10.25, 21 CFR 10.30, 505(j) of the Federal Food, Drug, and Cosmetic Act, 21 CFR 314.122, 21 CFR 314.161, 21 CFR 314.162, 21 CFR 25.31, 21 CFR 10.30(b)",The petitioner is commenting on the status of the drug Nipride® RTU in the FDA's Orange Book and its potential withdrawal for safety or efficacy reasons,"Determine whether Nipride® RTU (sodium nitroprusside), NDA 209387, has been voluntarily withdrawn or withheld from sale for reasons of safety or efficacy","The petitioner justifies the request by noting that the drug Nipride® RTU now appears in the 'Discontinued Section' of the FDA's Orange Book, and FDA regulations require determining if a product was withdrawn for safety or effectiveness reasons before approving related ANDAs"
FDA-2020-P-1689-0001_Citizen_Petition_from_Lassman_Law___Policy.pdf,"July 20, 2020","Scott M. Lassman, Lassman Law+Policy",Lassman Law+Policy is submitting the petition on behalf of a client (name not disclosed),"42 U.S.C. § 262(a), 21 C.F.R. §§ 10.25, 10.30, 601.2, 601.4, 21 C.F.R. § 600.3(s), 21 U.S.C. § 355(d), 21 C.F.R. § 314.126, 21 C.F.R. §§ 25.30, 25.31",FDA's potential licensure and approval of RYONCIL™ (remestemcel-L) for pediatric SR-aGVHD under BLA 125706,"Refuse to approve RYONCIL for pediatric SR-aGVHD unless the sponsor provides substantial evidence of effectiveness via a prospective, randomized, blinded, and concurrently controlled pivotal trial; and provide the petition to Advisory Committee members evaluating the BLA","The petition argues that the current evidence for RYONCIL’s efficacy is inadequate due to reliance on a single-arm, historically controlled study following failed Phase 3 trials. Approval without randomized controlled data could delay access to effective therapies like Jakafi and undermine standards for biologic licensure"
FDA-2020-P-1701-0001_Citizen_Petition_from_Harman_Finochem_Limited.pdf,"July 25, 2020",Harman Finochem Limited,Harman Finochem Limited is submitting the petition directly; Navitas Life Sciences is listed as the US Agent,"21 CFR § 10.25(a), 21 CFR § 10.30, 21 C.F.R. § 25.31(a), FD&C Act Section 505(j)","Designation of the reference standard for Metformin Hydrochloride Extended Release Tablets, 750 mg in the FDA's Orange Book","Designate a suitable alternative reference standard for Metformin Hydrochloride Extended Release Tablets, 750 mg, due to unavailability of the current RS (ANDA 078596 by Amneal Pharmaceuticals)",The current reference standard is unavailable in the market despite being listed in the Active Section of the Orange Book. The petitioner has been unable to obtain samples and cites FDA guidance that allows for selection of a new reference standard under such circumstances
FDA-2020-P-1718-0001_Citizen_Petition_from_Public_Health_Advocacy_Insti.pdf,"July 28, 2020","Public Health Advocacy Institute, Inc.","The Public Health Advocacy Institute is submitting on behalf of multiple public health organizations and individuals (e.g., Center for Science in the Public Interest, ChangeLab Solutions, 1,000 Days, etc.)","21 U.S.C. §§ 321, 341, 343, 371(a); 21 C.F.R. §§ 10.30, 101.3, 101.7, 102.5, 102.19, 107","FDA's regulation and labeling policy concerning beverages for children 9 to 36 months old, especially 'transition formulas' and 'toddler milks'",Take enforcement action against misbranded 'transition formulas'; amend 21 C.F.R. § 101.3 to prohibit use of the term 'infant formula' or 'formula' for drinks for children over 12 months; and amend 21 C.F.R. § 102 to require standardized naming and disclaimers for drinks marketed for children aged 12 to 36 months,"These drinks are misleadingly labeled and marketed, contributing to consumer confusion, potential harm from unnecessary added sugars, inappropriate usage by infants, and economic burden on families; current labeling implies these drinks are essential or recommended, contrary to health expert consensus"
FDA-2020-P-1725-0001_Citizen_Petition_from_Knowledge_Ecology_Internatio.pdf,"August 3, 2020",Knowledge Ecology International,The petition is submitted by Knowledge Ecology International without representing another entity,21 U.S.C. § 352(n); 21 C.F.R. § 202.1,"The petition comments on the FDA's regulations regarding audio elements in direct-to-consumer (DTC) prescription drug advertisements, particularly the use of background music during risk presentations",Amend 21 C.F.R. § 202.1 to ban background music during the presentation of risks in all forms of audio/video prescription drug advertisements,"Background music during risk disclosures distracts consumers, reduces comprehension of side effect information, creates an imbalance in risk-benefit messaging, and may lead to overdiagnosis and inappropriate prescription; banning such music would support FDA's fair balance requirement and improve public health outcomes"
FDA-2020-P-1728-0001_Citizen_Petition_from_Tenshi_Kaizen_Private_Limite.pdf,"August 3, 2020",Tenshi Kaizen Private Limited,The petition is submitted directly by Tenshi Kaizen Private Limited and is not representing another entity,"Section 505(j)(2)(C) of the FD&C Act; 21 C.F.R. §§ 314.93, 10.20, 10.30; 21 C.F.R. § 25.31; FD&C Act § 505 B(a)(1)(A); FDC Act § 5058(a)(5)(A)",FDA's approval process for Abbreviated New Drug Applications (ANDAs) involving dosage form changes from a reference listed drug (RLD),"Determine that Famotidine Orally Disintegrating Tablets (ODT), 20 mg (OTC), are suitable for submission as an ANDA and grant a waiver from pediatric studies under PREA","The proposed ODT form of Famotidine uses the same active ingredient, route of administration, indication, and patient population as the RLD (Pepcid AC®), with the only difference being dosage form. It offers benefits for patients with difficulty swallowing and can be taken without water. A precedent for approval of a similar petition exists, and a waiver from pediatric studies is justified based on lack of indication for children under 12 and limited use in that population"
FDA-2020-P-1768-0001_Citizen_Petition_from_SIRI___GLIMSTAD_LLP_on_behal.pdf,"August 17, 2020",Siri & Glimstad LLP,Siri & Glimstad LLP is submitting the petition on behalf of the Informed Consent Action Network,"21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31; references to FDA guidelines on clinical trials and adverse event reporting",FDA's oversight of the Phase III clinical trial design for the ChAdOx1 nCoV-19 (NCT04400838) COVID-19 vaccine,"(a) use a saline placebo, (b) monitor all adverse events for extended periods (12–60 months), (c) ensure an adequately powered sample size, (d) test T-cell reactivity pre/post vaccination, and (e) conduct germline transmission tests in male participants","The current trial uses an active control (MenACWY) instead of a placebo, has a limited monitoring period for adverse events, and lacks adequate power to detect rare effects. The petitioner argues that this undermines scientific integrity, may prevent future ethical placebo trials, and could harm public trust. The petition emphasizes the need for rigorous safety data, especially since the vaccine may become mandatory and may impact children and young adults with statistically low risk from COVID-19"
FDA-2020-P-1769-0001_Citizen_Petition_from_SIRI___GLIMSTAD_LLP_on_behal.pdf,"August 17, 2020",Siri & Glimstad LLP,Siri & Glimstad LLP is submitting the petition on behalf of the Informed Consent Action Network,"21 C.F.R. § 10.35; 21 C.F.R. §§ 25.30, 25.31; 21 C.F.R. § 312.32",FDA's oversight of the Phase III clinical trial design for the mRNA-1273 (NCT04470427) COVID-19 vaccine,"Amend the trial design to (a) capture all adverse events for 12–60 months depending on age group, (b) ensure adequate statistical power to detect rare adverse events and compare with SARS-CoV-2 outcomes, and (c) include T-cell reactivity testing pre- and post-vaccination","The current trial only tracks short-term adverse events, lacks sufficient power to compare safety outcomes across demographics, and omits important immunological tests. Without changes, the trial may not provide meaningful data on long-term safety, which is crucial if the vaccine becomes mandatory. A placebo-controlled, fully monitored trial is necessary for public trust and scientifically valid safety assessment"
FDA-2020-P-1770-0001_Citizen_Petition_from_SIRI___GLIMSTAD_LLP_on_behal.pdf,"August 17, 2020",Siri & Glimstad LLP,Siri & Glimstad LLP is submitting the petition on behalf of the Informed Consent Action Network,"21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31; 21 C.F.R. § 312.32",FDA's oversight of the Phase III clinical trial design for the BNT162b2 COVID-19 vaccine (NCT04368728),"Amend the study design to (a) document all adverse events for 12–60 months based on age, (b) use an adequately powered sample size to compare vaccine safety to SARS-CoV-2 effects, and (c) include T-cell reactivity testing before and after vaccination","The petitioner argues the trial's limited adverse event tracking period and lack of long-term monitoring undermine its safety assessment. It also lacks statistical power and fails to evaluate T-cell immunity. The trial's current limitations could jeopardize public trust and make it impossible to assess causality after licensure, especially if the vaccine is mandated"
FDA-2020-P-1771-0001_Citizen_Petition_from_Windels_Marx_Lane___Mittendo.pdf,"August 17, 2020","Frank D. Rodriguez, Windels Marx Lane & Mittendorf, LLP","Windels Marx Lane & Mittendorf, LLP is submitting the petition on behalf of an unspecified client (not explicitly stated)","21 C.F.R. § 10.25(a), 21 C.F.R. § 10.30, FD&C Act § 505(j), 21 C.F.R. § 314.3, 21 C.F.R. §§ 320.22, 320.24(b)(6), 21 C.F.R. § 25.31",FDA's designation of the reference standard (RS) for Dextromethorphan Hydrobromide and Promethazine Hydrochloride Oral Syrup in the Orange Book,"Designate ANDA 088864 (Wockhardt Bio AG's formulation) as the new or additional reference standard (RS) for Dextromethorphan Hydrobromide and Promethazine Hydrochloride Oral Syrup, 15 mg/5 mL; 6.25 mg/5 mL","The current RS approved under ANDA 040649 is not commercially available, preventing ANDA applicants from obtaining necessary quantities for testing. The proposed alternative, ANDA 088864, is therapeutically equivalent, commercially available, and the market leader, thus providing a viable pathway for generic development and competition"
FDA-2020-P-1775-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf,"August 19, 2020",Novitium Pharma LLC,The petition is submitted by Novitium Pharma LLC and not on behalf of any other entity,"21 C.F.R. § 10.30, 21 C.F.R. § 314.94(a)(3)",FDA's designation of the reference standard (RS) for Mesalamine Enema 4 g/60 mL in the Orange Book,Designate the generic Mesalamine Enema 4 g/60 mL product made by Perrigo Israel Pharmaceuticals Ltd (ANDA #076751) as the new RS,"The current RS, Rowasa (approved under NDA 019618), is no longer available on the market, making it impossible for generic manufacturers to develop products. The Perrigo product is currently the only available formulation and should be designated as the RS to support generic drug development and reduce healthcare costs"
FDA-2020-P-1792-0001_Citizen_Petition_from_Macleods_Pharmaceuticals_Lim.pdf,"August 21, 2020",Macleods Pharmaceuticals Limited,The petition is submitted by Macleods Pharmaceuticals Limited and not on behalf of another entity,"21 C.F.R. §§ 10.20, 10.30, 314.93; FDCA Section 505(j); 21 C.F.R. §§ 25.31(a), 25.15(d)","FDA’s designation of a reference standard (RS) for Metformin Hydrochloride Extended-Release Tablets, 750 mg","Designate a new RS from the list of approved generic products for Metformin Hydrochloride Extended-Release Tablets, 750 mg, in place of ANDA #078596 (Amneal), which is currently unavailable","The current RS, ANDA #078596 by Amneal Pharmaceuticals, is unavailable on the market due to a voluntary recall. Multiple alternative generics remain approved and listed in the Orange Book. To facilitate ANDA development and bioequivalence studies, Macleods requests that one of these generics be designated as the new RS"
FDA-2020-P-1844-0001_Citizen_Petition_from_HYMAN__PHELPS___MCNAMARA__P_.pdf,"September 1, 2020","Sara W. Koblitz, Hyman, Phelps & McNamara, P.C.","The submitting law firm is representing an unspecified client, not named in the petition","21 C.F.R. §§ 10.25(a), 10.30; FDCA § 505(j); 21 C.F.R. § 314.3; 21 C.F.R. §§ 25.31, 10.30(b)","FDA's designation of a Reference Listed Drug (RLD) and Reference Standard (RS) for Docetaxel Injection, particularly NDA 205934",Amend the Orange Book to designate Docetaxel Injection (NDA 205934) as both a Reference Listed Drug (RLD) and Reference Standard (RS),"The currently listed RLDs for Docetaxel Injection contain alcohol and include a related CNS warning. NDA 205934 contains no alcohol and was approved via 505(b)(2). This difference creates a barrier for ANDA applicants seeking to make a non-alcohol version, due to excipient-based impurity profiles and labeling differences. Designating NDA 205934 as an RLD and RS would facilitate generic development, address bioequivalence concerns, and improve access for alcohol-sensitive patients"
FDA-2020-P-1849-0001_Citizen_Petition_from_FOLEY___LARDNER_LLP.pdf,"September 3, 2020","David L. Rosen, Foley & Lardner LLP",Foley & Lardner LLP is submitting the petition on behalf of a client developing an ANDA (client not named),"21 C.F.R. §§ 10.25(a), 10.30, 314.93; FDCA § 505(j)(2)(C); 21 C.F.R. § 25.31",FDA’s designation of a reference standard (RS) in the Orange Book for neomycin and polymyxin B sulfates and hydrocortisone otic suspension,Designate Oticair Otic Suspension USP (ANDA #A064065 by Bausch and Lomb Pharmaceuticals Inc.) as an additional reference standard,"The current RS, CASPORYN HC Otic Suspension (NDA #N060613), is not available in the U.S. market due to backorder issues. Oticair, which is pharmaceutically equivalent and actively distributed, should be designated as an RS to enable ANDA applicants to conduct comparative studies for generic development"
FDA-2020-P-1864-0001_Citizen_Petition_from_Kambiz_Tajkarimi__MD_Redacte.pdf,"September 11, 2020","Kambiz Tajkarimi, MD",The petitioner is submitting on his own behalf and not representing another entity,"21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34",FDA’s potential approval or clearance (via 510(k) or other mechanisms) of the Augmenta silicone penile implant,Refrain from granting any 510(k) clearance or premarket approval to the Augmenta silicone penile implant,"The petitioner argues that the Augmenta implant has fundamental design flaws (including potentially harmful mesh tabs), is subject to ongoing litigation over trade secret theft, and has been advertised and marketed in violation of FDA rules without clearance. He claims the device could cause significant patient harm due to physical complications and misleading safety claims"
FDA-2020-P-1875-0001_Citizen_Petition_from_Grain_Processing_Corporation.pdf,"November 20, 2020",Grain Processing Corporation,The petition was submitted by Grain Processing Corporation and not on behalf of another entity,"21 C.F.R. §§ 10.30, 10.20, 101.9(c)(6)(i), 184.1444, 25.22, 25.30(k)","FDA’s nutrition labeling policy regarding recognition of dietary fibers, specifically the classification of Isomaltodextrin under Resistant Maltodextrin in the Nutrition Facts label","Amend 21 C.F.R. § 101.9(c)(6)(i) to include Isomaltodextrin as a dietary fiber under the Resistant Maltodextrin category for use in food, beverages, and dietary supplements","Isomaltodextrin is chemically and functionally similar to currently recognized resistant maltodextrins. It is GRAS (GRAS Notification 610), non-digestible, and beneficial to human health. It meets the structural and physiological criteria established by FDA for dietary fibers in the Resistant Maltodextrin category"
FDA-2020-P-1878-0001_Citizen_Petition_from_Foley___Lardner__LLP.pdf,"September 17, 2020","David L. Rosen, Foley & Lardner LLP",Foley & Lardner LLP is submitting the petition on behalf of a client (not named in the document),Referencing Approved Drug Products in ANDA Submissions,FDA’s designation of a reference standard (RS) for Warfarin Sodium Tablets USP 10 mg,"Designate Warfarin Sodium Tablets USP 10 mg (ANDA No. 040301, held by Taro Pharmaceutical Industries Ltd.) as a reference standard","The current RS, Coumadin (NDA 009218), is unavailable in the market despite diligent efforts to obtain it for required in-vivo bioequivalence studies. The Taro-manufactured version is commercially available and holds significant market share, making it suitable as a new RS to facilitate ANDA submissions"
FDA-2020-P-1881-0001_Citizen_Petition_from_The_Weinberg_Group.pdf,"September 15, 2020","The Weinberg Group, a ProPharma Group Company",The petition is submitted directly by The Weinberg Group and not on behalf of another entity,"21 C.F.R. §§ 10.25(a), 10.30, 314.161; FD&C Act; 21 C.F.R. § 25.31",FDA’s policy regarding determination of whether a drug was withdrawn from the market for reasons of safety or effectiveness,"Determine whether Serentil (mesoridazine besylate) tablets, NDA 016774, were withdrawn for safety or effectiveness reasons","Although Serentil was withdrawn from the market in 2018 and listed in the Orange Book as discontinued, no formal determination has been made by the FDA regarding the reason for withdrawal. The petitioner seeks this determination to clarify regulatory status and potential generic development implications"
FDA-2020-P-1914-0001_Citizen_Petition_from_Aurolife_Pharma__LLC____Reda.pdf,"September 16, 2020",Aurolife Pharma LLC,"Aurolife Pharma LLC is submitting the petition on its own behalf (subsidiary of Aurobindo Pharma USA, Inc.)","21 C.F.R. §§ 10.25(a), 10.30, 314.93; FDCA § 505(j); 21 C.F.R. §§ 25.31(a), 25.15(d)",FDA's designation of a reference standard (RS) for Lidocaine Hydrochloride Jelly 2%,"Designate Lidocaine Hydrochloride Jelly 2% (ANDA #040433, held by Akorn Inc.) as a new reference standard (RS) for ANDA development","The currently designated RS, Xylocaine (NDA #008816), is not discontinued in the Orange Book but is unavailable in the market, making bioequivalence testing infeasible. The Akorn product is the market leader in distribution and is more accessible, justifying its designation as the new RS for generic development"
FDA-2020-P-1919-0001_Citizen_Petition_from_Acella_Pharmaceuticals__LLC.pdf,"September 16, 2020","Acella Pharmaceuticals, LLC","Acella Pharmaceuticals, LLC is submitting the petition on its own behalf and not representing another entity","21 C.F.R. §§ 10.25(a), 10.30, 314.161, 25.31(a)","FDA's designation of a Reference Standard (RS) for Meprobamate Tablets, 400 mg","Designate a new Reference Standard for Meprobamate Tablets, 400 mg, due to the unavailability of both the Reference Listed Drug (RLD) and the current RS (Watson Labs, ANDA 083308)","Acella intends to resume manufacture under ANDA 084153, but the original dissolution profile and samples are unavailable. Since the current RS is no longer on the market, the petitioner requests FDA to designate an alternative RS to allow development and testing for bioequivalence"
FDA-2020-P-1991-0001_Citizen_Petition_from_HYMAN__PHELPS___MCNAMARA__P_(1).pdf,"September 21, 2020","Hyman, Phelps & McNamara, P.C.",The law firm is submitting the petition on behalf of an unspecified client (not named in the petition),"21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161, 25.31; FDCA Sections 505(j), 505(w)","FDA’s listing and regulatory status of HYDROCORTONE (hydrocortisone sodium phosphate) Injection, 50 mg base/mL, NDA 012052",Determine whether HYDROCORTONE (NDA 012052) was withdrawn from sale for reasons of safety or effectiveness,HYDROCORTONE was listed as discontinued in the Orange Book and its NDA was withdrawn at the sponsor’s request in 2004. The petitioner is unaware of any evidence suggesting withdrawal was due to safety or efficacy concerns and believes it was for commercial reasons. A determination from FDA is needed to support future ANDA referencing
FDA-2020-P-2003-0001_Citizen_Petition_from_Environmental_Defense_Fund.pdf,"September 23, 2020","Environmental Defense Fund (with co-petitioners including American Academy of Pediatrics, American Public Health Association, Breast Cancer Prevention Partners, Center for Food Safety, Clean Label Project, Consumer Federation of America, Consumer Reports, Endocrine Society, Environmental Health Strategy Center, Environmental Working Group, and Healthy Babies Bright Futures)",No law firm or representative submitting on behalf of another entity; all organizations are direct co-petitioners,"21 U.S.C. § 348; 21 U.S.C. § 379e; 5 U.S.C. § 553(e); 21 C.F.R. §§ 10.30, 70.3, 70.11, 70.16, 71.1, 170.3, 170.16, 170.18, 170.39, 170.101, 170.250, 171.1, 25.30, 25.31, 25.32, 25.33, 25.34","FDA’s regulation and guidance on safety evaluations for food additives, color additives, GRAS substances, and food contact substances—specifically its failure to implement the requirement to consider cumulative effects of chemically- and pharmacologically-related substances in the diet","Revise regulations, guidance, and petition/notification forms to require and clarify cumulative effect evaluations that consider chemically- and pharmacologically-related substances in the diet, including updating definitions and requiring explicit evaluation in petitions and notifications","Petitioners argue that FDA has consistently failed to enforce a statutory requirement from the 1958 Food Additives Amendment and subsequent laws mandating consideration of cumulative effects in dietary safety evaluations. This failure has serious implications for public health—particularly among children and underserved communities—and has contributed to increased risk of chronic diseases. The petition presents evidence from regulations, GRAS notifications, and FDA practices showing the lack of cumulative effect analysis and calls for specific regulatory and procedural reforms"
