File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-4140-0001_Citizen_Petition_from_Persion_Pharmaceuticals_LLC.pdf,"August 29, 2019",,Persion Pharmaceuticals LLC,"Nalpropion Pharmaceuticals, Inc. (an affiliate of Persion Pharmaceuticals LLC)","505(j) and 505(q) of the FFDCA (21 U.S.C. §§ 355(j) and 355(q))
- 21 C.F.R. §§ 10.25, 10.30, 10.31, and 314.127
- 21 C.F.R. §§ 25.30, 25.31 (Environmental Impact section)",The approval of ANDAs (Abbreviated New Drug Applications) for generic versions of ZOHYDRO® ER (hydrocodone bitartrate extended-release capsules). The petitioner comments specifically on the lack of bioequivalence testing in hepatically impaired patients,"1. Require all ANDAs for generic hydrocodone bitartrate extended-release capsules to include bioequivalence data in hepatically impaired subjects.
2. Require labeling in those ANDAs to match the RLD’s labeling regarding hepatic impairment","ZOHYDRO ER has a unique formulation that minimizes pharmacokinetic variation in hepatically impaired patients.
- Generic versions may not perform similarly in such patients, posing risks of overdose, respiratory depression, and death.
- Current FDA guidance only recommends bioequivalence testing in healthy individuals, which the petitioner argues is insufficient.
- Cites the opioid crisis as a reason for heightened safety precautions.
- Notes increased risk of OUD (Opioid Use Disorder) and adverse outcomes without appropriate testing and labeling",
FDA-2019-P-3886-0001_Citizen_Petition_from_Turner_Scientific.pdf,,Not mentioned,Turner Scientific,No third-party representation,"Section 701(h) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.115(f)(3)

- 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34, 25.40",Lack of regulatory requirements for screening new drug products for ototoxicity (hearing and balance-related side effects).,"The FDA should approve and issue the attached draft guidance document titled “Ototoxicity: Nonclinical Evaluation During Drug Development”, aimed at improving screening protocols for ototoxicity during drug development","Current regulations do not require routine testing for ototoxicity, despite widespread use of drugs known to damage hearing and balance.
- Hearing loss, even if mild to moderate, has severe consequences for quality of life, cognition, academic achievement, and social functioning in both adults and children.
- Many commonly used drug classes (e.g., aminoglycosides, platinum-based chemotherapy, loop diuretics, PDE-5 inhibitors) are known to be ototoxic.
- Existing FDA guidance is limited in scope and does not mandate comprehensive testing.
- Prevention is critical, as most ototoxic effects are irreversible and no regenerative treatment exists.
- Financial and social costs of hearing loss are substantial; improving drug labeling and screening can mitigate these harms",
FDA-2019-P-3855-0001_Citizen_Petition_from_Latham_Watkins_LLP_on_behalf.pdf,"August 14, 2019",,Latham & Watkins LLP,"Representing Genus Lifesciences, Inc.","21 U.S.C. § 355 (Sections 505(b)(2), 505(e), and 505(q))
- 21 C.F.R. §§ 10.20, 10.30, 10.31, 314.101(a), 314.101(d)(9), 314.150(a)(2)(iv), 314.108(b)(2), 314.50(d)(5), 314.60(c)(2)
- 5 U.S.C. § 706(2)(A)
- 21 C.F.R. § 25.31(a) ","FDA’s acceptance of Lannett Company, Inc.’s 505(b)(2) NDA for a cocaine hydrochloride product—despite lacking mandatory Pre-Filing Studies—and its acceptance of a resubmitted application post-CRL (Complete Response Letter).","1. Rescind FDA’s acceptance of Lannett’s 505(b)(2) application due to lack of QT, renal, hepatic, and leachable studies.
2. Refuse to file any resubmitted 505(b)(2) applications by Lannett until Genus’s NCE exclusivity expires.
3. Require Lannett to submit its application as an ANDA after exclusivity expiration.","Genus was required by FDA to complete five Pre-Filing Studies (QT prolongation, renal/hepatic toxicity, extractable and leachable assessments) before filing its NDA. In contrast, Lannett’s similar product was accepted without these studies, violating FDA regulations and administrative law (e.g., equal treatment of similarly situated entities, consistency with precedent). Additionally, FDA’s acceptance of Lannett’s post-CRL resubmission as a 505(b)(2) instead of an ANDA violates 21 C.F.R. § 314.101(d)(9)",
FDA-2019-P-4683-0001_Citizen_Petition_from_Public_Citizen.pdf,"October 8, 2019",,"Public Citizen
Specifically submitted by Dr. Michael A. Carome, Director of Public Citizen’s Health Research Group.",Not Mentioned,"21 C.F.R. § 10.30 (citizen petition regulation)
- 21 U.S.C. §§ 352(f)(1), 355(d), and 393(b)(2)(B) (statutory basis for FDA’s authority over drug labeling and approval)
- 505(d) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 314.125(b)(6), 314.126(a)","The continued FDA approval and market availability of Nuplazid (pimavanserin), an antipsychotic drug approved for Parkinson’s disease psychosis. The petitioner expresses concern over the drug’s unfavorable risk-benefit profile.","Public Citizen requests that the FDA immediately remove Nuplazid from the market based on post-market evidence indicating that the risks of the drug (including death, hallucinations, falls, and other adverse events) outweigh its benefits.","Clinical trial evidence suggests that Nuplazid offers limited efficacy.
- Post-market data submitted to the FDA’s Adverse Event Reporting System (FAERS) shows a high number of serious and fatal adverse events.
- The drug’s mechanism and population (elderly with Parkinson’s) make it especially high-risk.
- Risk-benefit balance is negative, and other safer treatment alternatives exist.
- Public Citizen previously warned about this drug and now urges withdrawal due to growing evidence of harm .",
FDA-2019-P-4424-0001_Citizen_Petition_from_Hibrow_Healthcare_LLC.pdf,"September 23, 2019",,Hibrow Healthcare LLC,No external representation is indicated; Hibrow Healthcare LLC appears to be the direct petitioner.,"21 C.F.R. § 10.30
- 21 C.F.R. § 314.161
- 21 C.F.R. § 314.122
- 21 C.F.R. § 25.31","Withdrawal status of Doxepin Hydrochloride Oral Concentrate Eq 10 mg base/mL as a Reference Listed Drug (RLD), and the FDA's recognition of its discontinuation for safety or efficacy reasons","The petitioner requests that the FDA determine that Doxepin Hydrochloride Oral Concentrate Eq 10 mg base/mL was not voluntarily withdrawn for safety and efficacy reasons, and to assign new Reference Standard status to either ANDA 074721 or ANDA 071918","The original reference product (approved under ANDA 071609) is no longer marketed, and its label is not available on the DailyMed website.
- The petitioner claims there is no evidence of the reference standard being marketed, thus suggesting a need for a new reference standard.
- A new RLD designation is needed to support generic submissions, and there is historical precedent where the FDA did not classify similar discontinuations as being for safety or efficacy reasons.
- The petitioner notes prior approvals and absence of safety concerns. ",
FDA-2019-P-5922-0001_Citizen_Petition_for_Respira_Technologies__Inc.pdf,"December 16, 2019",,"Respira Technologies, Inc.",Not Mentioned,"21 C.F.R. § 10.30
- FD&C Act Section 907(a)
- 21 U.S.C. §§ 387g, 387e(j)(1)",FDA's existing tobacco product regulations and lack of tailored guidance for high-tech and clean nicotine delivery systems under the PMTA (Premarket Tobacco Product Application) framework ,"The petitioner requests that the FDA issue a guidance document clarifying PMTA requirements specific to clean nicotine inhalation products, particularly noncombustible inhalation devices using pharmaceutical-grade ingredients and heating technologies, distinct from e-cigarettes.","FDA's current PMTA framework does not distinguish between combustible, electronic, and next-gen clean inhalation devices, leading to regulatory uncertainty.
- Respira’s technology involves pharmaceutical-grade nicotine in solution delivered through a non-combustion heating mechanism, designed to improve safety and reduce abuse potential.
- The company argues its pharmaceutical-style approach aligns with public health goals and should be considered differently than e-cigarettes or vape products.
- Guidance would foster innovation and regulatory compliance for products aimed at harm reduction.",
FDA-2019-P-0941-0001_Suitability_Petition_from_Felix_Pharmaceuticals_Pv.pdf,"February 21, 2019",,Felix Pharmaceuticals Pvt. Ltd,"Represented by James H. Schafer, D.V.M., of Schafer Veterinary Consultants, LLC, acting as U.S. Agent","Not Explicitly Cited (Standard references such as 21 C.F.R. 10.30 are implied for suitability petitions, but not directly mentioned in the document)","The current dosage form of the Reference Listed New Animal Drug (RLNAD), DRONTAL® Tablets by Bayer Healthcare LLC under NADA 141-008, which are approved as compressed tablets","Approval to file an Abbreviated New Animal Drug Application (ANADA) for a generic chewable tablet containing Praziquantel and Pyrantel Pamoate, which differs in dosage form from the RLNAD","The proposed generic product differs only in dosage form (compressed chewable tablet vs. regular compressed tablet), and the change is minor and appropriate for a suitability petition. Supporting documents include:
- Sponsor’s petition detailing proposed change
- Bayer's package insert
- Annotated version with Felix’s proposed modifications",
FDA-2019-P-0175-0001_Citizen_Petition__from_Fresenius_Kabi_USA__LLC.pdf,"January 9, 2019",,"Fresenius Kabi USA, LLC","No third-party representative is mentioned; the petition is directly submitted by Fresenius Kabi USA, LLC","21 C.F.R. § 10.30
- 21 C.F.R. § 314.161
- FD&C Act § 505(j)(2)(A)
- FD&C Act § 505(j)(2)(C)
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)","Regulatory requirement to obtain approval of a Suitability Petition before permitting a change in total drug content (i.e., fill size) in a parenteral drug product","The petitioner requests FDA to determine whether Sterile Water for Injection, USP in a 250 mL fill size is suitable for submission in an Abbreviated New Drug Application (ANDA), in addition to the already approved 1000 mL fill size","The smaller 250 mL fill size would help minimize waste in clinical settings that require smaller volumes since containers are single-use.
- It would help alleviate the ongoing drug shortage of sterile water for injection.
- It would facilitate treatment logistics, particularly in remote areas.
- The change involves only fill volume (not concentration or formulation), which the petitioner argues poses no concerns regarding safety or efficacy",
FDA-2019-P-1351-0001_Citizen_Petition_from_Law_Office_of_Alan_Dumoff_on.pdf,,"GPT says March 11, 2019","Law Office of Alan Dumoff, JD, MSW",Representing Naturopathic Doctors for Ethical Vaccination (NDEV),"21 C.F.R. § 10.30
- FDCA § 505 (implied via discussion on licensure and marketing)
- 21 U.S.C. § 360bbb-3 (Emergency Use Authorization provisions, referenced in broader vaccine policy discussion)","The FDA’s approval and labeling processes for vaccines containing fetal cell line–derived DNA contaminants, and lack of warnings on such ingredients","The petitioner requests that FDA:
- Require vaccine manufacturers to disclose the use of fetal cell line–derived ingredients in vaccines
- Require labeling warnings regarding possible adverse consequences
- Conduct and require safety testing for residual DNA fragments from fetal cell lines
- Reclassify or reassess marketing status if manufacturers fail to comply","Ethical concerns about lack of transparency on fetal-derived DNA ingredients
- Potential safety risks including insertional mutagenesis, autoimmune disease, and developmental issues from residual human DNA in vaccines
- Alleged failure of FDA to meet its statutory and constitutional obligations to protect public health and informed consent
- Claims that the public is unaware of the use of fetal cell lines in common vaccines like MMR, varicella, and hepatitis A",
FDA-2019-P-2407-0001_Citizen_Petition_from_Kratz___Barry_LLP_on_behalf_.pdf,"May 15, 2019",,Kratz & Barry LLP,"The law firm is submitting the petition on behalf of Rubicon Research Private Limited (""Rubicon"")","Section 505(j) of the FDCA
- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)","The designation of a Reference Standard (RS) for the drug Diclofenac Sodium, delayed release tablet, 75 mg. The petitioner highlights unavailability of the currently designated RS held by CASI Pharmaceuticals and comments on FDA’s prior guidance regarding alternative RS selection","The petitioner requests that the FDA designate RS status to the Diclofenac Sodium, delayed release tablet, 75 mg, held by Unique Pharmaceutical Laboratories (a division of J.B. Chemicals and Pharmaceuticals Ltd., ANDA No. 077863)","The current RS (CASI Pharmaceuticals) is not readily available for testing
- CASI is prioritizing distribution in the Chinese market, making the product less accessible in the U.S.
- The proposed RS from Unique Pharmaceutical Laboratories is more available and leads the U.S. market in sales according to IMS data
- FDA guidance allows such a petition when the current RS is not accessible",
FDA-2019-P-1818-0001_Citizen_Petition_from_Public_Citizen_Health_Resear.pdf,"April 16, 2019",,Public Citizen,Submitted directly by Public Citizen’s Health Research Group; not representing another entity,"Section 352 of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. § 352)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 201.56
- 21 C.F.R. § 201.57(c)(1)
- 21 U.S.C. § 355-1(a)(2)(A)
- 21 U.S.C. § 355-1(g)(4)(B)
- 21 C.F.R. § 25.31(a)",The petition comments on the existing product labeling and REMS (Risk Evaluation and Mitigation Strategy) for Prolia and seeks enhancements—specifically a boxed warning and updated REMS materials,"1. Add a boxed warning to Prolia’s label about increased risk of vertebral fractures upon drug discontinuation.
2. Implement an updated REMS that mandates revised communications and educational materials for healthcare providers and patients. These materials should highlight the fracture risk and recommend follow-up treatment with alternative antiresorptive therapies. ","Clinical evidence (including randomized trials, observational studies, and case series) shows a sharp increase in risk of multiple vertebral fractures following cessation of Prolia.
- This risk can be prevented or mitigated with appropriate education and treatment transitions (e.g., bisphosphonates).
- Current labeling and REMS do not sufficiently highlight this risk, and many patients and physicians remain unaware.
- Boxed warning and revised REMS will raise awareness, prevent abrupt treatment stops, and encourage safer discontinuation practices.",
FDA-2019-P-1640-0001_Citizen_Petition_from_Top_Health_Ingredients__Inc.pdf,"March 4, 2019",,"Top Health Ingredients, Inc.",Not Mentioned,"21 C.F.R. § 170.35
- 21 U.S.C. § 321(s) (implied, GRAS context)
- FDA Modernization Act of 1997",FDA's no-objection policy on GRAS notifications and the lack of response to the GRAS notification for “Barley Beta Glucan” submitted by Cargill Inc.,The petitioner requests that FDA rescind its GRAS no-objection letter for Cargill’s barley beta glucan ingredient or require a new GRAS notification and independent evaluation before continuing market access.,"Top Health claims that Cargill’s barley beta glucan product has insufficient safety data for GRAS status.
- Asserts inequitable regulatory treatment, where similar ingredients (like their own) would not pass under the same scrutiny.
- Highlights concerns about composition differences, manufacturing process inconsistencies, and consumer health risk.
- Challenges the scientific rigor of the Cargill notification and FDA’s oversight.",
FDA-2019-P-5997-0001_Citizen_Petition_for_Center_for_Biological_Diversi.pdf,,"GPT says October 30, 2019",Center for Biological Diversity,Not Mentioned,"21 U.S.C. § 321(s) (FDCA: definition of food additive)
- 21 U.S.C. § 348 (FDCA: food additive approval)
- 21 C.F.R. § 170.3(e)(4) (definition of “food additive”)
- 21 C.F.R. Part 170, Subpart B (food additive petition process)",FDA’s inaction on regulating phthalates as food additives despite mounting scientific evidence of harm,"The petition requests the FDA to rescind its approval for 28 ortho-phthalates as food additives, effectively banning their use in food contact materials.","Scientific studies linking phthalates to endocrine disruption, developmental and reproductive toxicity, and other health effects
- Regulatory precedents from other countries
- Legal obligation under the Federal Food, Drug, and Cosmetic Act to ensure safety of food additives
- FDA’s failure to act despite longstanding awareness of risks",
FDA-2019-P-0466-0001_Citizen_Petition_from_Fresenius_Kabi_USA__LLC.pdf,"January 29, 2019",,"Fresenius Kabi USA, LLC",Not Mentioned,"21 CFR § 10.30
- 21 CFR § 314.161
- 21 CFR § 314.162
- 21 CFR § 25.31","FDA’s removal of certain dextrose injection products (20% and 50%) from the ""Active"" to the ""Discontinued"" section of the Orange Book without a formal determination of withdrawal due to safety or efficacy concerns.",That the FDA determine whether the NDA holder (Baxter Healthcare Corp.) for Dextrose 20% and 50% in plastic containers (NDA 017521) withdrew the products for reasons of safety or effectiveness.,"The products are no longer listed as “active” in the Orange Book and now appear in the ""Discontinued Section""
- Under 21 CFR 314.161, such a determination is necessary before approving any ANDA that references these products
- The petitioner seeks clarification on the reason for withdrawal to support future ANDA submissions",
FDA-2019-P-6044-0001_Citizen_Petition_from_Latham___Watkins_LLP_on_beha.pdf,"December 20, 2019",,"Par Sterile Products, LLC (""Par"")","Latham & Watkins LLP submitted the petition on behalf of Par Sterile Products, LLC","505(b), 505(j), and 505(q) of the FDCA
- 21 C.F.R. §§ 10.30, 314.70(b)(1), 314.70(c), 314.92(a)(1), 314.93, 314.94(a)(3), 314.94(a)(9)(iii)
- 21 U.S.C. § 355(j)(2)(A)(i)
- 21 C.F.R. § 25.31(a)","FDA’s review and approval process for Abbreviated New Drug Applications (ANDAs) that cite Adrenalin® as the reference listed drug (RLD).
- FDA’s requirement that Par’s proposed formulation change be submitted as a Prior Approval Supplement (PAS) rather than a CBE-30 supplement.","Expedite FDA review and take final action on Par’s pending PASes to remove the epinephrine overage in Adrenalin®.
- Refrain from approving any ANDA for a generic epinephrine injection product citing Adrenalin® as the RLD until FDA has completed its PAS review.
- After PAS approval, refrain from approving any ANDA for a generic version of Adrenalin® that contains an epinephrine overage or otherwise differs in formulation from the revised version.","Patient safety risks: Epinephrine overages may lead to patients receiving super-potent doses, which could result in severe side effects such as cardiac arrhythmias, pulmonary edema, or cerebrovascular hemorrhage.
- FDA policy disfavoring overages unless strictly necessary.
- Par’s revised formulation retains potency without the need for overage and supports an 18-month shelf life.
- FDA’s own decision to classify Par’s CBE-30 supplement as a PAS indicates the clinical significance of the change, reinforcing the need to delay approval of generics until the PAS is resolved.",
FDA-2019-P-3265-0001_Citizen_Petition_from_Medical_Research_Collaborati.pdf,"July 8, 2019",,"Medical Research Collaborative, LLC","Not Representing Another Entity (petition was submitted directly by Medical Research Collaborative, LLC; signed by Steven Giardino, President and CEO)","21 C.F.R. § 10.30 and § 10.31 (regarding citizen petitions)
- 21 U.S.C. § 355(c)(3)(D)(ii)(I) and § 355(j)(5)(C)(ii)(I) (relating to deletion of Orange Book patent listings for 505(b)(2) NDAs and ANDAs)
- 21 C.F.R. §§ 25.30 and 25.31 (categorical environmental exclusions)","The inclusion of U.S. Patent No. 8,188,146 (the '146 patent) in the FDA’s Approved Drug Products with Therapeutic Equivalence Evaluations (Orange Book), specifically related to Amarin Corp.’s drug Vascepa (icosapent ethyl)","Request that the FDA remove the '146 patent from the Orange Book, on the grounds that it is improperly listed and does not claim an FDA-approved method of use or valid composition of matter related to Vascepa","The '146 patent allegedly does not claim an approved method of using Vascepa, and even excludes the approved use (hypertriglyceridemia).
- The patent is described as a method-of-use patent masquerading as a composition-of-matter patent.
- Claims such as “contains no DHA” are argued to be impossible to meet and constitute an abstract idea, thus invalid.
- The patent specification focuses on CNS/psychiatric indications, not the FDA-approved indication.
- The active ingredient was already known and developed by others (e.g., Mochida), making it anticipated by prior art.
- Amarin did not assert this patent in ongoing ANDA patent litigation, suggesting lack of enforceability.",
FDA-2019-P-2687-0001_Citizen_Petition_from_AuroMedics_Pharma_LLC.pdf,"June 3, 2019",,AuroMedics Pharma LLC,Representing Aurobindo Pharma Limited (AuroMedics is the U.S. agent submitting the petition on behalf of Aurobindo),"21 C.F.R. § 10.30 (Citizen Petition)
- 21 C.F.R. § 320.22(d)(1) and § 320.22(d)(3) (waivers of in-vivo bioequivalence testing)
- 21 C.F.R. § 25.30(h) (categorical exclusion for environmental impact)","The lack of therapeutic equivalence (TE) rating for NDA 209552 (Argatroban in Sodium Chloride Injection, 50 mg/50 mL) and the request to designate it with an 'AP' rating to match the Reference Listed Drug (RLD) NDA 022434 held by Eagle Pharmaceuticals, Inc.","The petitioner requests that the FDA assign a therapeutic equivalence rating of ‘AP’ to Aurobindo Pharma’s Argatroban in Sodium Chloride Injection, NDA 209552, identifying it as therapeutically equivalent to the RLD, NDA 022434 (Eagle Pharmaceuticals)","NDA 209552 is pharmaceutically equivalent to the RLD in active ingredient, dosage form, strength, and route of administration.
- The differences in excipients are minor and do not affect bioavailability, as FDA has previously granted waivers of in-vivo bioequivalence testing.
- Other similar 505(b)(2) NDAs have been granted TE ratings despite formulation differences.
- Granting an ‘AP’ rating would support exemption from PDUFA user fees and establish regulatory clarity for therapeutic substitution. ",
FDA-2019-P-2982-0001_Citizen_Petition_from_Hetero_Labs_Limited.pdf,"June 19, 2019",,Hetero Labs Limited,"The petition was submitted directly by Hetero Labs Limited. The U.S. Agent is Dr. Soma Raju, Vice President – Regulatory Affairs at Hetero USA, Inc.","21 C.F.R. § 10.30 (Citizen petition procedure)
- 21 C.F.R. § 314.161 (Drug withdrawal from sale for safety or effectiveness)
- 21 C.F.R. § 314.162 (FDA's authority to withdraw or suspend drug approval)
- 21 C.F.R. § 25.31 (Environmental assessment exclusion)","The petitioner is commenting on the status of the reference listed drug Mexitil® (Mexiletine Hydrochloride) NDA# 018873 and requests that FDA determine whether it was withdrawn for reasons other than safety or effectiveness, thus allowing ANDA filings to reference it.","Determine that Mexitil® (Mexiletine Hydrochloride), NDA# 018873, was not withdrawn for safety or effectiveness reasons.
- Allow use of the product as a Reference Listed Drug (RLD) in abbreviated new drug applications (ANDAs).
- Request that FDA publish this determination in the Federal Register and annotate the Orange Book accordingly.","Publicly available information (e.g., internet searches) reveals no evidence that the product was withdrawn for safety or effectiveness reasons.
- No published federal or state court decisions involve product liability for Mexitil®.
- The product is listed in the Discontinued Section of the Orange Book but lacks the annotation stating it was not withdrawn for safety or efficacy.
- The petitioner believes the discontinuation was voluntary and unrelated to safety/efficacy.",
FDA-2019-P-0412-0001_Citizen_Petition_from_Summit_Pharmaceuticals_Inc.pdf,"December 21, 2018",,Summit Pharmaceuticals Inc.,Petition was submitted directly by Summit Pharmaceuticals Inc.. No representation of another entity is indicated.,"§ 512(n)(3) of the Federal Food, Drug, and Cosmetic Act (FFDCA)
- 21 C.F.R. §§ 10.20 and 10.30 (FDA citizen petition procedures)
- 21 C.F.R. § 314.93 (related to suitability petitions for generics)
- 21 C.F.R. § 25.30(h) (categorical environmental exclusion)
- 21 C.F.R. § 25.21 (extraordinary circumstances for environmental review)","The petition comments on New Animal Drug Application (NADA) 141-324 for ""PROIN Chewable Tablets"" and seeks permission to file an Abbreviated New Animal Drug Application (ANADA) for a generic that differs in dosage form and strength.","Permission to file an ANADA based on NADA 141-324 despite differences in dosage form (unscored, film-coated vs. scored, chewable tablets) and strength (addition of 12.5 mg and 37.5 mg tablets).
- Request that these changes be accepted as permissible under a suitability petition. ","The active ingredient (phenylpropanolamine hydrochloride) remains unchanged.
- Dosage form is modified only to unscored, film-coated tablets for ease of manufacturing; two new strengths are added to maintain dosing precision.
- Labeling will match the Reference Listed New Animal Drug (RLNAD), with necessary adjustments.
- Summit commits to demonstrating bioequivalence through CVM-approved protocols.
- The requested changes fall within the legal framework for filing a suitability petition under FFDCA § 512(n)(3)",
FDA-2019-P-3266-0001_Citizen_Petition_from_Medical_Research_Collaborati.pdf,"July 8, 2019",,"Medical Research Collaborative, LLC","Not Representing Another Entity (petition was signed and submitted directly by Steven Giardino, President and CEO)","21 C.F.R. § 10.30 (citizen petition regulation)
- 21 U.S.C. § 321(ff)(1) and § 321(ff)(3)(B) (definition and exclusions for “dietary ingredient”)
- 19 U.S.C. § 1337 (unfair practices under the Tariff Act)
- 15 U.S.C. § 1125(a)(1) (Lanham Act)
- 21 C.F.R. §§ 25.30, 25.31 (environmental impact categorical exclusions)","The petitioner is commenting on the FDA’s definition and classification of certain forms of omega-3 fatty acids (including ethyl ester, re-esterified triglyceride (rTG), free fatty acid, mono- and diglyceride forms) as “dietary ingredients” or “drugs.” This is in response to Amarin Corp.'s attempt to classify them as drugs via a complaint to the International Trade Commission (ITC).","The petitioner asks that the FDA officially rule that ethyl ester, re-esterified triglyceride (rTG), free-fatty acid, mono-, and diglyceride forms of omega-3 fatty acids are dietary ingredients under the FD&C Act","These omega-3 forms have been widely and safely used as dietary supplements for decades, including in foods and infant formulas.
- FDA has not explicitly ruled that these are not dietary ingredients—rather, past guidance and responses have left their status “unclear.”
- The definitions of dietary ingredients under the FD&C Act are broad and can encompass these forms.
- The petition seeks to prevent companies like Amarin Corp. from monopolizing access to such products by labeling them as unapproved “drugs.”
- FDA, not the ITC or private companies, has the authority to interpret and enforce the FD&C Act regarding such classifications.
- Classification as dietary ingredients would reflect public use and consumer expectation, as omega-3s are a multi-billion dollar industry in the U.S",
FDA-2019-P-4101-0001_Citizen_Petition_from_IQVIA_RDS_Inc_.pdf,"August 29, 2019",,IQVIA RDS Inc.,"Representing an Unnamed Client — The petition states it is submitted “on behalf of a client,” but does not disclose the client's identity","21 C.F.R. §§ 10.25(a), 10.30 (citizen petition regulations)
- Section 505(j) of the FD&C Act
- 21 C.F.R. § 25.31 (categorical exclusion from environmental assessment)","The petition comments on FDA’s designation of the reference listed drug (RLD) and reference standard (RS) for Dicyclomine Hydrochloride Tablets (currently BENTYL® by Allergan Sales LLC), which is not available in the market. The petitioner seeks FDA action in light of the product’s unavailability despite not being marked as “discontinued” in the Orange Book","Designate an alternative reference standard (RS) for Dicyclomine Hydrochloride Tablets to enable development of a generic version.
- Petition includes supporting market data and references FDA guidance allowing such designation when the current RS is unavailable","BENTYL® tablets are not commercially available, even though still listed as active in the Orange Book.
- FDA’s Draft Guidance on Referencing Approved Drug Products in ANDA Submissions provides for changing the RS when the current RS is unavailable.
- Market data shows several therapeutically equivalent marketed alternatives (e.g., by Mylan, Teva, Hikma).
- The unavailability prevents the sponsor from completing bioequivalence testing, hindering ANDA development",
FDA-2019-P-3022-0007_Amendment_from_Foley_and_Lardner_LLP.pdf,"July 14, 2020",,Foley & Lardner LLP,Foley & Lardner LLP is representing a client submitting an ANDA suitability petition. The specific client name is Not Mentioned in the amendment,"The specific regulatory citation for the suitability petition (e.g., 21 C.F.R. § 10.30 or § 314.93) is Not Explicitly Mentioned in the amendment. However, the document refers to the ANDA suitability petition process, which is generally governed by 21 C.F.R. § 314.93",FDA's comment on the suitability petition for a proposed ANDA for Rivaroxaban Capsules regarding inconsistency in labeling—specifically concerning instructions related to crushing the capsule,"Acceptance of the revised draft package insert submitted with the amendment to clarify FDA’s concerns and support the suitability petition for filing an ANDA for Rivaroxaban Capsules (2.5 mg, 10 mg, 15 mg, and 20 mg)","The petitioner responds to FDA’s concern about instructions for crushing capsules, which FDA noted was inconsistent with typical capsule use.
- The revised labeling retains a reference to “crushed tablet” only in Section 12.3, clearly indicating it relates to a clinical study conducted on the Reference Listed Drug (RLD), not on the proposed capsule formulation.
- The inclusion is contextual and scientifically justified, and does not suggest the capsule itself should be crushed",
FDA-2019-P-2240-0001_Citizen_Petition_from_Axinn_on_behalf_of_Zydus_Pha.pdf,"May 6, 2019",,"Axinn, Veltrop & Harkrider LLP",Axinn submitted the petition on behalf of Zydus Pharmaceuticals (USA) Inc.,"Section 505 of the FDCA
- 21 C.F.R. §§ 10.20, 10.25, 10.30, 10.31
- 21 C.F.R. § 25.31(a) (environmental impact categorical exclusion)","The petition challenges FDA’s current therapeutic equivalence (“TE”) rating and approval process for generic versions of Mephyton® (Phytonadione Tablets, NDA No. 010104), urging the FDA to reevaluate the sameness of active ingredients based on isomeric purity","1. Require that ANDA applicants:
   • Identify and quantify each isomer (including Z isomers) through validated testing, and
   • Control Z isomer levels to match the RLD (Mephyton).
2. Refrain from approving new ANDAs lacking this data.
3. Downgrade the TE rating from “AB” to “BX” for already-approved ANDAs that haven’t demonstrated comparable isomeric purity","The stereochemistry of phytonadione significantly affects its bioactivity: only trans isomers are therapeutically active; cis isomers are inactive.
- Synthetic forms may have different isomeric ratios than the RLD, affecting clinical equivalence.
- FDA required Zydus to meet stricter criteria during approval of its ANDA based on RLD isomer data.
- Petition argues all ANDA applicants should be held to the same rigorous standards to ensure therapeutic equivalence.
- Without such measures, the “sameness” requirement under the FDCA is not met, and patients may receive inequivalent therapy",
FDA-2019-P-3423-0001_Suitability_Petition_from_Oxford_Pharmaceuticals__.pdf,"Printed June 6, 2019; Stamped June 16, 2019",,"Oxford Pharmaceuticals, LLC","Petition was submitted directly by Oxford Pharmaceuticals, LLC. No external legal or consulting representative was indicated.","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 314.93 (Suitability petitions)
- 21 C.F.R. §§ 10.20, 10.30 (General petition procedures)
- 21 C.F.R. § 25.31 (Environmental categorical exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact provision)","The petitioner is commenting on the need to obtain FDA’s determination of suitability for filing a supplemental Abbreviated New Drug Application (sANDA) for a new strength (15 mg) of Baclofen Tablets, USP, which differs from existing RLD/RS strengths (10 mg and 20 mg)","Request that the FDA declare Baclofen Tablets, USP, 15 mg as suitable for submission in an sANDA, as an additional strength to the approved Reference Listed Drug (RLD) and Reference Standard (RS)","The only difference from the RLD/RS is the change in strength from 10 mg/20 mg to 15 mg.
- No changes in indications, usage, dosage form, route of administration, patient population, or other labeling aspects.
- Therefore, there is no difference in safety or efficacy.
- The request complies with statutory and regulatory provisions for a suitability petition under 505(j)(2)(C) and 21 C.F.R. 314.93.
- Petitioner also claims a categorical environmental exclusion under 21 C.F.R. 25.31",
