File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2010-P-0446-0036_FDA_CDRH_to_University_of_Virginia_Health_System,"Stamped January 31, 2012",,Center for Devices and Radiological Health (CDRH) – Contact reference provided for CDRH Regulations Staff; the response was issued from the Office of the Commissioner,Denied – FDA denied the request to require a warning label on surgical gloves indicating a 1.5% glove hole leakage rate,"21 CFR 800.20(c)(2) – Defines Acceptable Quality Level (AQL) for glove water leak testing
- 21 CFR 800.20(c)(3) – Defines lot rejection criteria when defect count exceeds threshold","The 1.5 AQL is a minimum quality level, not a direct percentage leakage rate.
- Many gloves perform better than the 1.5 AQL limit; thus, labeling all gloves with a “1.5% leakage rate” would be inaccurate.
- Such a label could mislead consumers and unfairly disadvantage manufacturers whose products perform better than the AQL standard.",
FDA-2010-P-0444-0003_FDA_CDER_Response_to_the_Mayo_Clinic__May_24__2011,"Stamped May 20, May 23, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Keith O. Webber, Ph.D., Deputy Director, Office of Pharmaceutical Science","Approved – FDA approved the petition to allow submission of an ANDA for Fludeoxyglucose F18 Injection, 500 mCi/mL at End of Synthesis (EOS)","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) – Basis for approving a petition involving a strength change
- Section 505(j)(2)(A)(iv) – Bioavailability requirement","The proposed product (500 mCi/mL) differed in strength but had the same dose, dosage form, and route of administration as the listed product (300 mCi/mL).
- FDA concluded that investigations were not necessary because the difference in strength did not raise safety or efficacy concerns.
- The product must meet bioavailability requirements to be approved, but this would be evaluated during the ANDA review process.",
FDA-2010-P-0438-0003_FDA_CDER_Interim_Response_to__Dr__Reddy_s_Laborato,"Stamped February 11 and February 16, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response – The FDA had not yet reached a final decision due to the complex nature of the issues raised in the petition.,21 CFR § 10.30(e)(2) – Regulation requiring interim response to citizen petitions when a decision is not issued within 180 days,"The petition requested changes to FDA’s Manual of Policies and Procedures (MaPP 5240.3) to allow expedited review of certain ANDAs.
- FDA stated the request raised complex issues needing extensive internal analysis.
- Due to resource constraints and competing priorities, a final response had not yet been completed.",
FDA-2010-P-0430-0015_FDA_CDER_to_Hogan_Lovells_US_LLP__Eisai__Inc_____P,"Stamped November 26, 2010",,"Center for Drug Evaluation and Research (CDER) – Signed by Janet Woodcock, M.D., Director","Granted in part and denied (or denied as moot) in part – The FDA confirmed Ranbaxy’s exclusivity, converted Teva’s ANDA to tentatively approved, and denied some requests as moot","21 CFR § 10.30 – Citizen petition procedures
- 21 CFR § 314.430(d)(1) – Confidentiality of unapproved ANDAs
- 21 CFR § 314.107(c)(1) – ANDA approval timing and exclusivity
- 21 U.S.C. § 355(j) – FD&C Act, ANDA pathway
- 35 U.S.C. § 271(e)(2) – Patent infringement related to ANDA filings","Ranbaxy was the first applicant eligible for 180-day exclusivity, which blocked Teva’s ANDA approval.
- Teva’s ANDA was originally approved in 2008 but was converted to tentative approval in Sept 2010.
- As of Nov 26, 2010, Ranbaxy’s ANDA was approved, and it alone was entitled to the exclusivity.
- FDA found no basis for Teva to waive exclusivity since it was not eligible for it.
- Some requests were denied as moot because the desired actions (e.g., conversion of Teva’s ANDA) had already occurred.",
FDA-2010-P-0413-0006_FDA_CDER_Response_to_Olsson_Frank_Weeda_Terman_Bod,"Stamped January 28 and January 30, 2013",,"Center for Drug Evaluation and Research (CDER) – Response signed by Gregory P. Geba, M.D., M.P.H., Director, Office of Generic Drugs",Approved – FDA approved the petition to allow submission of an ANDA for a new strength (50 mcg/1 mL vial) of Fentanyl Citrate Injection,"Section 505(j)(2)(C) of the FD&C Act – Authority for petitioning ANDA submission with different strength
- Section 505(j)(2)(C)(i) – Standard for approval unless safety/effectiveness questions require investigation
- Section 505(j)(2)(A) and (B) – ANDA submission requirements
- Section 505(j)(2)(A)(iv) – Bioavailability requirements","The change in strength (from 2 mL to 1 mL vials) does not raise safety or efficacy concerns, as dose, use, and route of administration remain the same.
- No new clinical investigations were necessary.
- If the product meets bioavailability criteria, it can be expected to have the same therapeutic effect as the listed reference product",
FDA-2010-P-0401-0006_FDA_CDRH__to_Steve___Gupta__M_D___J_D____Petition_,"Stamped December 2, 2011",,Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30(e)(3)
- FD&C Act § 515(e)(1)(A), (B), and (F)
- 21 CFR 814.46(a)","The FDA found no new data or rationale sufficient to warrant withdrawal of the PMA (premarket approval) for the Alair® Bronchial Thermoplasty System.
- The mechanism of action (i.e., reduction in smooth muscle mass) was not required to be proven for approval; instead, clinical outcomes (reduced emergency visits, exacerbations, etc.) justified approval.
- Concerns regarding a single “outlier” patient in the control group were found to be scientifically invalid and did not compromise study integrity.
- The AIR2 trial was well-controlled and showed meaningful benefit in relevant clinical endpoints.
- The AIR trial’s five-year data was not designed to evaluate long-term effectiveness comparatively and did not support revocation.
- The labeling already included precautions addressing the limitations of the patient population studied (e.g., exclusion of the most severe asthma cases).
- The FDA noted that the granting of expedited review status has no bearing on the validity of the approval. ",
FDA-2010-P-0401-0003_Interim_Response_to_Steve_Gupta__M_D___J_D__,"January 18, 2011",,"Center for Devices and Radiological Health (CDRH) – Signed by Nancy K. Stade, Deputy Director for Policy",Interim Response – FDA had not yet reached a decision on the petition at the time of this letter,21 CFR 10.30(e)(2) – Regulation requiring an interim response when no decision has been made within 180 days,"The petition requested revocation of the April 27, 2010 PMA approval for the Alair® Bronchial Thermoplasty System.
- FDA stated that the petition raised issues requiring further review and analysis.
- The agency was not ready for a meeting, but was working toward a resolution",
FDA-2010-P-0396-0004_FDA_CDER_to_Fish___Richardson__P_C____Cephalon___I,"Stamped January 7, 2011",,Center for Drug Evaluation and Research (CDER),Denied,"Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- Section 505(b)(2) of the FD&C Act
- 21 CFR Part 320 (Bioequivalence methodologies)
- FDA Guidance documents:
• Bioavailability and Bioequivalence for Orally Administered Drug Products – General Considerations
• Bioequivalence Recommendations for Specific Products
• Statistical Approaches to Establishing Bioequivalence","Fish & Richardson Petition: FDA reviewed the assertion that Watson's ANDA resulted in a new salt form (fentanyl starch glycolate) due to the wet granulation process. FDA found the risk of this conversion minimal and unsupported by Cephalon’s model study, which used unrealistic processing conditions (e.g., sonication instead of granulation). FDA determined Watson’s ANDA was acceptable and denied the request to reject it or require a 505(b)(2) NDA.

- Cephalon Petition: FDA denied the request to revise its bioequivalence guidance to require additional pharmacokinetic (PK) parameters (like AUC₀–₃₀ or C₃₀). It concluded that standard measures—AUC and Cmax—along with routine analysis of early PK profiles, were sufficient for assessing therapeutic equivalence. FDA also argued that Fentora’s variability in patient tolerance and lack of a clear concentration-effect relationship makes additional PK criteria unnecessary. The agency reaffirmed that existing regulatory tools (e.g., Tmax evaluations, in vitro testing) and scientific reviews were adequate to safeguard patient safety and efficacy.",
FDA-2010-P-0393-0007_Interim_Response_to_Mr__Robert_Pack_and_Mr__Lance_,"Stamped January 6 and January 10, 2011",,"Center for Drug Evaluation and Research (CDER) – Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response – FDA had not yet reached a final decision on the petition.,21 CFR 10.30(e)(2) – Regulation requiring an interim response if a final decision is not made within 180 days,"The petition requested that FDA issue a public statement clarifying that there is insufficient in vivo clinical data to support news claims that reformulated OxyContin is less addictive or abusable than the original.
- It also asked FDA to direct Purdue Pharma to make a similar public statement.
- FDA noted that the petition raised complex issues requiring extensive internal review and analysis, and thus it had not yet reached a decision.",
FDA-2010-P-0392-0049_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P,"April 4, 2018",,Center for Devices and Radiological Health (CDRH),"Partially Approved and Partially Denied:
- Petitions to ban powdered gloves and remove certain content were granted.
- Petition to establish new communication guidelines was denied.","21 CFR § 10.30(e)(2)
- Final Rule: 81 FR 91722 (Dec 19, 2016)
- Proposed Rule: 81 FR 15173 (Mar 22, 2016)","The FDA issued a final rule in December 2016 banning powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating a surgeon’s glove due to risks associated with their use, particularly allergic reactions and complications in surgical wounds and healing processes.

- The rule rendered many of the petitions’ requests moot or fulfilled.

- The FDA considered submitted information in the rulemaking process.

- The petition to establish additional administrative guidelines was denied because existing procedures under 21 CFR § 10.30 were deemed sufficient.",
FDA-2010-P-0383-0017_FDA_CDER_to_Fish___Richardson__P_C____Cephalon__In,"Stamped January 7, 2011",,Center for Drug Evaluation and Research (CDER),Denied,"Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FDCA) (21 U.S.C. 355(j))
- Section 505(b)(2) of the Act
- 21 CFR Part 320
- FDA Guidance documents:
    • Bioequivalence Recommendations for Specific Products
    • Bioavailability and Bioequivalence for Orally Administered Drug Products – General Considerations
    • Statistical Approaches to Establishing Bioequivalence","Watson ANDA Petition: The FDA found insufficient evidence that Watson’s fentanyl buccal tablet contained a second salt form (fentanyl starch glycolate). Cephalon’s model study was not representative of Watson’s process and thus did not substantiate claims of an additional active ingredient.

- Bioequivalence Requirements Petition: The FDA determined that standard pharmacokinetic (PK) measures—AUC and Cmax—along with review of early time PK profiles, were sufficient to determine bioequivalence for ANDAs referencing Fentora.

- FDA disagreed with Cephalon’s request to mandate additional PK parameters (e.g., AUC₀–₃₀, C₃₀) or to revise the Fentanyl Guidance, noting no established PK/PD relationship for Fentora due to inter-patient variability and lack of PD data.",
FDA-2010-P-0377-0010_FDA_CDER_to_Great_Lakes_Environmental_Law_Center_a,"Stamped February 22, 2013",,"Center for Drug Evaluation and Research (CDER) — Signed by Janet Woodcock, Director",Denied,"21 CFR 25.15(a) – Requirement for EA or categorical exclusion
- 21 CFR Part 25, Subpart C – Environmental assessments
- 21 CFR 25.21 (a) – Extraordinary circumstances requiring EAs
- 21 CFR 25.31 – Categorical exclusion criteria
- 21 CFR 25.33 – Conditions for exclusions under IND, NDA, ANDA, etc.
- 42 U.S.C. § 4321 – National Environmental Policy Act (NEPA) (cited indirectly via discussion of NEPA process)
- 81 FR 15173 and other Federal Register notices indirectly referenced for guidance","The petition requested FDA to repeal the 1 part per billion (ppb) Categorical Exclusion for environmental assessments and to establish a new, more stringent threshold for pharmaceutical pollutants in the environment.

- FDA denied this request, stating that the current exclusion standard is scientifically sound and supported by toxicity data. Their internal environmental analysis included:
• A comprehensive review of aquatic toxicity data for over 1,300 active pharmaceutical ingredients (APIs), focusing on 16 with LOECs (Lowest Observed Effect Concentrations) < 1 ppb.
• An evaluation of API metabolism, wastewater treatment efficiency, and ecological exposure dilution.
• A conclusion that current environmental regulations and guidance, including the 1 ppb threshold, sufficiently mitigate potential environmental risks.

- FDA stated that concerns raised by the petition do not meet the threshold of ""extraordinary circumstances"" requiring a change in the categorical exclusion under 21 CFR 25.21(a).

- FDA concluded the petition did not provide scientific justification for modifying the categorical exclusion, and they reaffirmed plans to publish draft guidance addressing endocrine disruption potential of drugs in the future.",
FDA-2010-P-0377-0008_FDA_CDER_Response_to_Great_Lakes_Environmental_Law,"Stamped August 8 and August 12, 2011",,"Center for Drug Evaluation and Research (CDER) — Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response — FDA had not yet reached a decision on the petition due to complexity.,21 CFR § 25.31(b) — Pertains to categorical exclusion from the requirement to prepare an environmental assessment for certain actions with estimated aquatic concentration below 1 ppb,"The petition requested revocation of 21 CFR § 25.31(b), arguing that the 1 ppb threshold for environmental exclusion was inadequate.
- FDA noted that the petition raised complex scientific and legal issues requiring extensive review and analysis.
- The agency was evaluating existing regulations and guidance in light of recent scientific developments.
- FDA was also coordinating with other federal agencies, including the Environmental Protection Agency (EPA).
- Due to competing priorities and the complexity of the matter, FDA was unable to provide a timeline for completing its response.",
FDA-2010-P-0376-0004_FDA_CTP_Response_to_Rousseau_Research_Inc_Californ,"Stamped December 5, 2013",,"Center for Tobacco Products (CTP) — Signed by Mitchell Zeller, Director",Denied,"Section 911 of the Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. § 387k)
- Section 907 of the FD&C Act (21 U.S.C. § 387g)
- Section 906(d) of the FD&C Act","Modified Risk Recognition Request: FDA rejected the request to recognize E® brand cigarettes as a “potential” modified risk tobacco product (MRTP) because Section 911 of the FD&C Act does not allow for potential MRTPs—only those formally approved via order after application and review.

- Ban on Marketing Practices: Petitioners’ claims that discounting and rebates hinder market entry for safer products lacked supporting evidence. FDA concluded there was insufficient information to determine whether banning such practices would protect public health.

- Tocopherol Regulation: The request for a new rule mandating 300–350 µg Tocopherol per cigarette (as MS-CSC) lacked supporting data or scientific studies. FDA found no evidence that such a standard was necessary to protect public health under Section 907 and ruled rulemaking unwarranted.

As such, FDA concluded that none of the requests were justified scientifically or legally and denied the petition.",
FDA-2010-P-0376-0003_FDA_CTP_Interim_Response_to_Rousseau_Research_Inc_,"Stamped December 14, 2010",,"Center for Tobacco Products (CTP) — Signed by Lawrence R. Deyton, M.S.P.H., M.D., Director",Interim Response — FDA had not reached a final decision due to complex issues.,21 CFR § 10.30(e)(2) — Requires an interim response when the FDA has not completed review within 180 days,"The petition sought:
1. A ban on promotional discounts for modified risk tobacco products.
2. A ban on rebates/penalties imposed on distributors of such products.
3. A new regulation setting tocopherol (Vitamin E) levels in cigarette smoke condensate (MS-CSC) between 300–350 µg.
4. Recognition of E® brand cigarettes as a potential modified risk tobacco product.

- FDA stated it had not yet resolved the issues because the petition raised significant and complex regulatory and scientific questions requiring further analysis by agency officials.",
FDA-2010-P-0359-0004_Interim_Response_to_Goodwin_Procter_LLP__from_CDRH,"Stamped December 10, 2010",,"Center for Devices and Radiological Health (CDRH) — Signed by Nancy Stade, Deputy Director for Policy",Interim Response — The FDA had not yet reached a final decision.,21 CFR § 10.30(e)(2) — Governs interim responses for citizen petitions pending beyond 180 days,"The petition requested finalization of the 2006 proposed rule and draft guidance concerning reclassification of absorbable hemostatic devices.
- FDA stated that it was unable to reach a decision at the time due to the complexity of issues involved and the need for additional review and analysis by agency officials.
- The agency assured it would respond as soon as a final determination was made.",
FDA-2010-P-0352-0049_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P,"Stamped April 4, 2018",,Center for Devices and Radiological Health (CDRH),"Partially Approved / Partially Denied
Some petitions granted in part; one denied in part.","21 CFR 10.30(e)(2)
- 81 FR 15173 (March 22, 2016)
- 81 FR 91722 (December 19, 2016)","Petitions contributed to the final rule banning powdered surgeon's gloves, patient exam gloves, and absorbable powder for lubricating a surgeon’s glove.
- The requested removal of the “Medical Glove Powder Report” was executed as part of that final rule.
- FDA declined to address specific cancer-growth claims due to coverage in final rule justification.
- Requests to reclassify devices considered moot because of the complete ban.
- Request to create new guidelines for petition processing was denied citing existing adequate regulations (21 CFR 10.30).",
FDA-2010-P-0341-0006_FDA_CDER_Response_to_Hyman_Phelps_and_McNamara_P_C,"Stamped November 15 and November 16, 2012",,"Center for Drug Evaluation and Research (CDER) — Signed by Gregory P. Geba, M.D., M.P.H., Director, Office of Generic Drugs","Approved — Petition to allow submission of an ANDA for imatinib mesylate tablets (50 mg, 200 mg, and 600 mg) was granted.","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- Section 505(j)(2)(C)(i)
- Section 505(j)(2)(A)
- Section 505(j)(2)(A)(iv)","The requested change in drug strength (to 50 mg, 200 mg, and 600 mg) was deemed acceptable under the FD&C Act.
- The FDA concluded that the proposed changes in strength did not raise concerns of safety or effectiveness, since the use, dosage, and route of administration remained the same as the listed drug (Gleevec® Tablets, 100 mg and 400 mg).
- As such, no new investigations were required.
- The proposed generic product, if shown to meet bioavailability standards, would have the same therapeutic effect as the listed drug.",
FDA-2010-P-0339-0058_FDA_CDRH_to_University_of_Virginia_Health_System__,"Stamped January 13, 2012",,"Center for Devices and Radiological Health (CDRH)
Signed by Leslie Kux, J.D., Acting Assistant Commissioner for Policy, Office of the Commissioner",Denied,"21 CFR 10.30(e) (regarding petition processing)
- 21 CFR 800.20(c)(2) & (c)(3) (glove quality requirements)
- FD&C Act (21 U.S.C. 301 et seq.)
- 71 FR 75865 (Dec. 19, 2006)","FDA concluded that existing premarket review, performance standards, and quality regulations (such as the 1.5 AQL standard) are sufficient to ensure the safety and effectiveness of surgeon’s gloves.
- The petitioner requested mandatory use of a powder-free double glove hole indicator system during procedures involving HIV, Hepatitis B, or Hepatitis C patients.
- FDA determined that no new regulatory requirements were warranted and that no compelling evidence was provided showing that existing standards posed an unreasonable risk or needed to be changed.
- FDA emphasized that glove lots not meeting the AQL are considered adulterated under current regulations.",
FDA-2010-P-0338-0005_FDA_CDER_to_Lachman_Consultant_Services__Inc____Le,"Stamped October 6, 2010",,Center for Drug Evaluation and Research (CDER),"Denied (The FDA determined that the drug was not withdrawn for reasons of safety or effectiveness; thus, it denied the implicit request to remove it from the Orange Book’s discontinued list.)"," 21 CFR 314.161 (Determination of voluntary withdrawal for safety or effectiveness)
- 21 CFR 314.162 (Listing of withdrawn drugs)
- 21 U.S.C. 355(j)(7) (Federal Food, Drug, and Cosmetic Act section on ANDA listing)","The FDA reviewed its own records and found no evidence that Azdone (hydrocodone bitartrate and aspirin) was withdrawn for safety or efficacy reasons.
- The petitioner did not provide any such evidence.
- FDA also conducted an independent evaluation of postmarketing safety data and literature and found no indication of withdrawal for safety or efficacy.
- Therefore, Azdone remains listed in the “Discontinued Drug Product List” in the Orange Book, allowing ANDAs referencing it to be submitted",
FDA-2010-P-0326-0004_FDA_CDER_to_JRRapoza_Associates__Inc____Response_L,"Stamped December 29, 2010",,Center for Drug Evaluation and Research (CDER),"Other — The FDA determined that Trandate (labetalol hydrochloride) tablets, 300 mg and 400 mg, were not withdrawn for reasons of safety or effectiveness.","21 U.S.C. 355(j)(7) (Section 505(j)(7) of the FD&C Act)
- 21 CFR 314.161(a)(1)
- 21 CFR 314.161(a)(2)
- 21 CFR 314.162","The FDA reviewed agency records and literature.
- No data or postmarketing reports suggested withdrawal was for safety or efficacy reasons.
- Therefore, the products will remain listed in the ""Discontinued Drug Product List"" in the Orange Book.
- FDA will continue to approve ANDAs referring to these products if they meet applicable standards.",
FDA-2010-P-0317-0003_Interim_Response_to_Teva_Pharmaceutical_Industries,"Stamped December 13 and December 15, 2010 ",,"Center for Drug Evaluation and Research (CDER)
Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response — No decision yet; the petition is still under review.,21 CFR 10.30(e)(2) (FDA regulation governing citizen petition interim responses)," The FDA stated it had not resolved the issues raised in the petition submitted by Teva on June 16, 2010.
- The petition asked that all albuterol sulfate HFA inhalation aerosol NDAs or 505(b)(2) NDAs bear approved trade names as a condition of approval.
- The delay is due to the complexity of the issues, which require extensive review and analysis.",
FDA-2010-P-0312-0014_FDA_CDER_to_Natural_Resources_Defence_Council__Pet,"Stamped November 20, 2012",,Center for Drug Evaluation and Research (CDER),Denied," Federal Food, Drug, and Cosmetic Act (FD&C Act), Sections 505(e), 505(e)(2), and 505(e)(3)
- 21 CFR 314.150(a)(2)(ii)
- 21 CFR Part 7, Subpart C
- The Stockholm Convention on Persistent Organic Pollutants (POPs)","FDA concluded that current data do not show that the risk-benefit profile of lindane has changed.
- Available evidence does not demonstrate that lindane is unsafe when used as directed.
- Adverse event reporting rates have declined since boxed warnings and a Public Health Advisory were implemented.
- The data cited by the petitioner (NRDC) were found to be anecdotal or not meeting the standard of “substantial evidence” from adequate and well-controlled studies.
- Resistance to lindane, while noted, was not sufficient to warrant withdrawal, as some patients may still benefit.
- Environmental and global regulatory concerns (e.g., EPA’s pesticide assessments, Stockholm Convention) do not override FDA’s authority to assess safety and effectiveness for pharmaceutical uses.
- FDA emphasized that lindane is approved as a second-line treatment, with appropriate warnings and restricted indications.
- No persuasive evidence was provided that the risks of lindane, as labeled, outweigh its therapeutic benefits for patients intolerant to or failing first-line treatments.",
FDA-2010-P-0312-0013_FDA_CDER_to_Natural_Resources_Defence_Council___Re,"Stamped May 4, 2012",,"Center for Drug Evaluation and Research (CDER) — Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response — The FDA had not yet reached a final decision on the petition.,21 CFR 10.30 — Regulation governing citizen petitions,"FDA acknowledged receipt of the March 28, 2012 follow-up from NRDC regarding the petition.
- The agency noted that it had previously issued an interim response on January 28, 2011.
- FDA reiterated that the petition is still under active review, and a final response would be issued once a decision is reached.
- No new substantive justification for delay was provided other than the ongoing review process.",
FDA-2010-P-0312-0009_Interim_Response_to_Natural_Resources_Defense_Coun,"Stamped January 28, 2011; Read January 31, 2011",,"Center for Drug Evaluation and Research (CDER)
Signed by Jane A. Axelrad, Associate Director for Policy",Interim Response — The FDA had not yet resolved the petition at that time.,21 CFR 10.30(e)(2) — Governing interim responses to citizen petitions,"The petition raised complex issues requiring extensive review and analysis.
- The FDA acknowledged the petition (submitted June 15, 2010) requested the withdrawal of lindane approvals and a prohibition on its pharmaceutical use for lice and scabies.
- FDA noted this interim response was delayed due to an administrative error and should have been issued on December 12, 2010.",
FDA-2010-P-0309-0010_FDA_CDER_to_Shire_Development_Inc____Petition_Part,"Stamped December 8 and December 10, 2010",,Center for Drug Evaluation and Research (CDER),"Partially Granted and Partially Denied
- Granted: Requests related to limiting total lanthanum hydroxycarbonate and trace metal impurities.
- Denied: Requests for mandatory pharmacodynamic (PD) or clinical studies for bioequivalence, and separate polymorph testing.","Section 505(b)(2) and 505(j) of the FD&C Act (21 U.S.C. 355)
- Section 505(q)(1)(F) and (F)(ii) of the FD&C Act
- 21 CFR 320.1(e), 320.23(b), 320.24(b)(4), 320.24(b)(6), and 314.101(b)(9)","Bioequivalence (BE): In vitro dissolution and binding studies are sufficient and appropriate to demonstrate BE, as Fosrenol acts locally in the GI tract with minimal systemic absorption. PK studies are not required; clinical trials are considered less sensitive.
- Hardness Testing: Required to ensure similar “chewability” and particle pulverization.
- Impurities and Degradants: Applicants must control and monitor trace metal impurities and total lanthanum hydroxycarbonate. No need to test each polymorph individually due to lack of evidence for differential toxicity.
- Hydration State: Clinical studies not required for products with different hydration levels, as BE can still be established through appropriate in vitro or PD studies.",
FDA-2010-P-0275-0003_Determinations_that_Product_Withdrawal_From_Sale_W,"December 7, 2010",,Center for Drug Evaluation and Research (CDER),"Denied – The FDA determined that the drug was not withdrawn for reasons of safety or effectiveness, allowing continued ANDA referencing.","21 CFR § 314.161
- 21 CFR § 314.162
- Section 505(j)(7) of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 355(j)(7))","The FDA reviewed the citizen petition and conducted an independent review of agency records and literature.
- No data or adverse event reports indicated that GLEEVEC 50 mg or 100 mg capsules were withdrawn from sale due to safety or effectiveness concerns.
- Therefore, these products remain listed in the Discontinued Drug Product List in the Orange Book, and ANDAs referencing them may still be approved if they meet all other requirements.",
FDA-2010-P-0271-0014_FDA_CDER_to_Buchanan_Ingersoll_and_Rooney_PC__Peti,"Stamped May 20, 2013",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 321(p)(1) – Definition of “new drug” under the FD&C Act
- 21 U.S.C. § 355(a) – Drug approval requirement
- 21 CFR 314.126 – Adequate and well-controlled studies
- 21 CFR 10.30 – Citizen petition process
- 21 CFR 10.35 – Stay of action pending petition resolution
- 21 CFR 330.10(a)(4)(ii) – OTC drug evaluation
- Multiple references to section 505 of the FD&C Act","The FDA provided extensive reasoning for denying the petition, including:

- Insufficient Clinical Evidence: The petition failed to demonstrate that Auralgan is “Generally Recognized As Safe and Effective” (GRAS/E) through adequate and well-controlled studies.
- Product Variability: The formulation of Auralgan referenced was not consistent across cited studies, and differences in active ingredients and concentrations weakened claims of GRAS/E status.
- Disqualification of Supporting Evidence: Many cited studies lacked control groups or failed to meet FDA standards for clinical adequacy.
- Legal Interpretation: The FDA interpreted the FD&C Act to mean that each product as a whole—not just its components—must be shown to be GRAS/E.
- Prior Enforcement Actions: FDA had already seized unapproved Auralgan products and enforced compliance with new drug application (NDA) requirements.
- Procedural Grounds: Requests to allow marketing pending NDA approval or to halt enforcement were denied under 21 CFR 10.30 and 10.35 as procedurally unsupported.",
FDA-2010-P-0271-0012_FDA_CDER_to_Buchanan_Ingersoll___Rooney_PC,"Stamped February 15 and February 16, 2011",,Center for Drug Evaluation and Research (CDER),Partially Denied,"21 CFR 10.30 – Governing citizen petitions
- 21 CFR 10.3 – Defines “administrative action”
- 21 CFR 10.30(k) – Limits of citizen petition applicability
- 21 CFR 10.45 – Final administrative actions
- FD&C Act
- Ewing v. Mytinger & Casselberry, Inc., 339 U.S. 594 (1950)
- Heckler v. Chaney, 470 U.S. 821 (1985)","Procedural Grounds: The FDA found that the petition’s request to halt enforcement action was not a proper subject of a citizen petition under 21 CFR 10.30.
- Legal Restrictions: Under 21 CFR 10.3 and 10.30(k), enforcement referrals are explicitly excluded from citizen petition processes.
- Judicial Precedent: Courts lack jurisdiction to review FDA’s enforcement decisions (Ewing, Heckler), so such requests fall outside reviewable administrative action.
- Enforcement Discretion: FDA emphasized its discretion in deciding whether and when to initiate enforcement actions.",
FDA-2010-P-0271-0003_Interim_Response_to_Buchanan_Ingersoll___Rooney_PC,"Stamped November 24 and November 26, 2010",,Center for Drug Evaluation and Research (CDER),Interim Response – No Decision Yet,21 CFR 10.30(e)(2) – Regulation requiring an interim response if no decision has been made within 180 days on a citizen petition," Complexity of Issues: The FDA noted that the petition raised “significant issues requiring extensive review and analysis by Agency officials.” Therefore, a final decision could not yet be provided.",
FDA-2010-P-0263-0005_Letter_re_Closing_of_Citizen_Petition_from_FDA_CFS,"August 18, 2020",,Center for Food Safety and Applied Nutrition (CFSAN),Closed,21 CFR 101.13(b)(3) – Regulation the petitioner sought to amend (regarding “less sugar” nutrient content claims on labeling for children under two),"Company Inactivity: FDA determined that First Juice, Inc. was no longer operational (website offline, phones disconnected, and emails undeliverable).
- No Means of Contact: Multiple attempts to reach the petitioner failed.",
FDA-2010-P-0263-0004_Interim_Response_to_First_Juice_Inc_,"Stamped November 23, 2010 and December 7, 2010",,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response – No Decision Yet,21 CFR 10.30(e)(2) – Requirement to issue an interim response if a petition decision is delayed beyond 180 days,"Agency Workload: The delay was attributed to “other agency priorities and the limited availability of resources.”
- The review of the petition was still underway and would be completed as part of broader program priorities.",
FDA-2010-P-0255-0013_FDA_CDER_to_Osmotica_Pharmaceutical___Petition_Den,"Stamped November 187 and November 18, 2010",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(j)(2)(C) – Suitability petitions
- 21 CFR 314.93 – Suitability petitions
- 21 CFR 314.94(a)(3) – ANDA content requirements
- 21 CFR 320 – Bioequivalence and bioavailability studies
- 21 CFR 314.50(d)(3) and 314.94(a)(7) – NDA and ANDA content requirements
- 21 CFR 320.25(a)(1) – Study conduct ethics","FDA Guidance Compliance: FDA cited its own guidance which permits waiver of fasting bioequivalence studies for venlafaxine HCl due to safety concerns (notably nausea and vomiting during fasted studies).
- Clinical Equivalence: The FDA concluded there was no significant clinical difference in pharmacokinetics between Osmotica’s product and the reference under fed conditions.
- Safety Risks: Fasting conditions posed greater adverse event risks (vomiting), and ethical considerations weighed against conducting unnecessary human trials.
- Consistency with Precedent: FDA noted it had issued similar fed-only recommendations for other drugs when warranted by safety profiles (e.g., indomethacin, nisoldipine).
- Labeling and Scientific Rationale: The labeling and PK data supported the conclusion that food does not affect bioavailability materially, making fasting studies unnecessary for generic evaluation purposes.",
