File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2020-P-1849-0002_Acknowledgment_Letter_from_FDA_DMS_to_FOLEY___LARD.pdf,"September 3, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that acceptance for filing is procedural and does not indicate any decision on the petition’s substantive merits.
FDA-2020-P-1857-0002_Acknowledgment_Letter_from_FDA_DMS_to_SIRI___GLIMS.pdf,"September 8, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and notes that its acceptance for filing is procedural and does not reflect any decision regarding the merits of the petition.
FDA-2020-P-1859-0002_Acknowledgment_Letter_from_FDA_DMS_to_GLAND_PHARMA.pdf,"September 8, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and states that its acceptance is a procedural matter and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-1871-0002_Acknowledgment_Letter_from_FDA_DMS_to_Siri___Glims.pdf,"September 11, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that its acceptance is purely procedural and does not reflect a decision on the substantive merits of the petition.
FDA-2020-P-1873-0002_Acknowledgment_Letter_from_FDA_DMS_to_Bentley_Biom.pdf,"September 14, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that its acceptance is a procedural matter and does not indicate any decision on the substantive merits of the petition.
FDA-2020-P-1875-0006_Final_Response_from_FDA_CFSAN_to_Grain_Processing_.pdf,"July 22, 2022",Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR 101.9(c)(6)(i), 21 CFR 10.30(e)(3), 21 CFR 101.9(c)(8)(ii)","The FDA denied the petition to include Isomaltodextrin (IMD) in the regulatory definition of dietary fiber due to insufficient scientific evidence demonstrating that IMD has a beneficial physiological effect on human health. Although structurally similar to resistant maltodextrin/dextrin (RMD/RD), IMD lacks some specific non-digestible bond linkages and the petition did not include human intervention studies to support its effects. Therefore, the FDA concluded it could not evaluate IMD as meeting the criteria for dietary fiber and declined to propose an amendment to 21 CFR 101.9(c)(6)(i)."
FDA-2020-P-1878-0002_Acknowledgment_Letter_from_FDA_DMS_to_Foley___Lard.pdf,"September 18, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and clarifies that its acceptance is a procedural formality and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-1881-0005_Letter_to_The_Weinberg_Group_from_FDA_CDER.pdf,"April 1, 2021",Center for Drug Evaluation and Research (CDER),Denied (FDA determined the drug was not withdrawn for safety or effectiveness reasons),Not Mentioned,"FDA reviewed its records and concluded that Serentil (mesoridazine besylate) tablets were not withdrawn from sale for reasons of safety or effectiveness. As a result, the drug will remain listed in the Discontinued Drug Product List section of the Orange Book."
FDA-2020-P-1914-0002_Acknowledgment_Letter_from_FDA_DMS_to_Aurolife_Pha.pdf,"September 17, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter confirms receipt of the petition and clarifies that its acceptance is procedural and does not reflect a decision on the substantive merits of the petition.
FDA-2020-P-1919-0002_Acknowledgment_Letter_from_FDA_DMS_to_Acella_Pharm.pdf,"September 17, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that its acceptance for filing is a procedural formality and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-1991-0006_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"November 19, 2024",Center for Drug Evaluation and Research (CDER),Denied (FDA determined the drug was not withdrawn for safety or effectiveness reasons),Not Mentioned,"FDA reviewed its records and concluded that Hydrocortone (hydrocortisone sodium phosphate) injection, EQ 50 mg base/mL, was not withdrawn for safety or effectiveness reasons. Therefore, it will remain listed in the Discontinued Drug Product List section of the Orange Book."
FDA-2020-P-2003-0458_Memorandum_from_FDA_CFSAN_on_Health_and_Chemicals_.pdf,"December 15, 2021",Center for Food Safety and Applied Nutrition (CFSAN),Other (Petition under consideration; no final decision issued),Not Mentioned,FDA acknowledged the complex scientific and regulatory issues raised in the petition regarding cumulative effects of chemically- or pharmacologically related substances. FDA noted that chemically related substances may have differing metabolic or toxicological profiles and that receptor-binding similarity does not necessarily imply toxicological equivalence. The agency expressed the need to ensure regulatory definitions remain flexible to allow for the use of all relevant scientific evidence in safety evaluations.
FDA-2020-P-2004-0002_Acknowledgment_Letter_from_FDA_DMS_to_Lachman_Cons.pdf,"September 23, 2020","Dockets Management Staff, FDA/Office of Operations (OO)",Procedural acknowledgment only; no substantive decision issued,Not Mentioned,The letter acknowledges receipt of the petition and clarifies that its acceptance for filing is a procedural matter and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-2005-0006_Approval_letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"July 25, 2023",Center for Drug Evaluation and Research (CDER),Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act, 21 CFR 314.93, 21 CFR 314.93(e)(1), 21 CFR 314.94(a)(3)(iii), Section 505(j)(2)(A) and (B), Section 505(j)(2)(A)(iv)","The FDA approved the petition to submit an ANDA for Potassium Chloride Extended-Release Tablets USP, 15 mEq, determining that the change in strength from the listed drug product does not raise safety or efficacy concerns. The proposed change is consistent with the dosing recommendations of the listed drug, and if bioequivalence is demonstrated, it would be expected to have the same therapeutic effect without requiring significant labeling changes or additional safety and effectiveness investigations."
FDA-2020-P-2008-0007_Response_Letter_from_FDA_CDRH_to_Andy_Zeltwanger.pdf,"April 22, 2021",Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30(e)(3), 21 CFR 812.2(c)(3), 21 CFR 820.3(m), 21 CFR 807.81(a)(3), Section 513(i)(1)(E) of the FDCA",The FDA denied the petition because the petitioner did not provide sufficient information to justify exempting the specified devices from premarket notification requirements. The FDA emphasized that such exemptions must align with public health protection and are typically enacted through rulemaking. The agency noted that existing regulatory frameworks already provide pathways for low-risk devices and that the petition failed to demonstrate that the suggested exemption met the criteria under current statutes and regulations.
FDA-2020-P-2010-0008_Citizen_Petition_Response_from_FDA_CDRH_to_Philips.pdf,"April 26, 2021",Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30(e)(3), 21 CFR 814.39, Section 515 of the FDCA","The FDA denied the petition because it determined that the requested actions, which involved modifying the approval process for certain Class III devices, were inconsistent with statutory and regulatory requirements. The agency stated that the petition lacked adequate justification for bypassing or altering the supplemental premarket approval (PMA) process and emphasized that changes to such regulatory procedures must be addressed through established rulemaking and not individual petitions."
FDA-2020-P-2013-0002_Acknowledgment_Letter_from_FDA_DMS_to_Lachman_Cons.pdf,"September 25, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,"The letter acknowledges receipt and filing of the citizen petition regarding the designation of an ANDA reference standard (RS) for Lidocaine Hydrochloride Topical Jelly, 2%. It explicitly states that the acceptance for filing is a procedural matter and does not indicate any decision on the merits of the petition."
FDA-2020-P-2017-0002_Acknowledgment_Letter_from_FDA_DMS_to_Alston___Bir.pdf,"September 28, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges receipt and filing of the citizen petition requesting the designation of Nicardipine Hydrochloride Premixed Injection as alternative reference listed drugs (RLDs). It clarifies that this acceptance is procedural and does not reflect any agency decision on the substantive merits of the petition.
FDA-2020-P-2028-0007_Response_Letter_from_FDA_CDER_to_Outsourcing_Facil.pdf,"January 25, 2021",Center for Drug Evaluation and Research (CDER),Denied,"Section 503B(a)(2)(A)(i) of the FD&C Act (21 U.S.C. § 353b(a)(2)(A)(i)), Section 505 (21 U.S.C. § 355), Section 502(f)(1) (21 U.S.C. § 352(f)(1)), Section 582 (21 U.S.C. § 360eee-1), 21 CFR 207.1(b), 21 CFR 314.81(b)(3)(iii), Section 503B(d)(2)(B) of the FD&C Act, Section 503B(a)(5), 21 CFR 314.50",The FDA denied the petition because the proposed definition of 'clinical need' would have undermined statutory safeguards and public health protections by allowing bulk drug substances to be compounded without FDA's clinical review. The agency stated that the definition offered by the petitioner would eliminate the FDA’s role in evaluating whether a compounded drug product made from a bulk substance is medically necessary in light of available FDA-approved products. This would bypass important public health protections and weaken the integrity of the drug approval process. The FDA emphasized that clinical need must be evaluated through its existing review framework and cannot be reduced to a prescriber’s intent alone. The agency also noted that its approach was upheld by the Athenex v. Azar court decision and that it followed appropriate procedures in evaluating nominations for the 503B Bulks List.
FDA-2020-P-2033-0005_Interim_Response_Letter_from_FDA_DMS_to_Kentucky_D.pdf,"March 29, 2021","Dockets Management Staff (DMS), Office of Operations",Interim Response (no final decision yet),Not Mentioned,The FDA acknowledged receipt of the citizen petition regarding the safety of Acetazolamide for Injection. The interim response stated that the agency has not yet reached a final decision due to the need for more time to fully evaluate the petition’s requests and supporting information. The agency indicated it would respond fully once its review is complete.
FDA-2020-P-2048-0006_Response_Letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"May 25, 2021",Center for Drug Evaluation and Research (CDER),Denied (product was not withdrawn for safety or efficacy reasons),Not Mentioned,"The FDA determined that the drug Manganese Sulfate, injectable, Eq 0.1 mg manganese/mL, was not withdrawn from sale for reasons related to safety or effectiveness. Therefore, the product will remain listed in the 'Discontinued Drug Product List' section of the Orange Book. This indicates that the drug's discontinuation does not affect its eligibility as a reference listed drug for generic drug applications."
FDA-2020-P-2060-0005_Final_Response_Letter_from_FDA_CDRH_to_Christine_B.pdf,"June 22, 2021",Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30, 21 CFR 895.21(d)(1), Section 516 of the FD&C Act","The FDA denied the petition requesting enforcement action against manufacturers of certain dental devices. The agency concluded that the petition did not provide sufficient evidence to support claims that the devices presented an unreasonable risk to public health. FDA also stated that it considers multiple factors, including scientific evidence and risk analysis, before initiating enforcement actions. Additionally, the petition's requested action to ban the product did not meet the legal standard required under Section 516 of the FD&C Act."
FDA-2020-P-2066-0004_Final_Response_Letter_from_FDA_CDER_to_America_s_F.pdf,"November 16, 2022",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 353(b)(3), 21 C.F.R. § 310.200(b), 21 U.S.C. § 355 (Sections 505(a), 505(d)), 21 U.S.C. § 360bbb-3 (Section 564), 21 C.F.R. § 314.50(d)(5), 21 C.F.R. § 314.71, 21 C.F.R. § 314.125(b), 21 C.F.R. § 314.126, Section 503(b)(1) of the FD&C Act","(1) a petition is not the appropriate pathway to request a new indication; (2) the petitioner is not the NDA holder and cannot submit a supplemental application; (3) no evidence was submitted demonstrating the safety or effectiveness of hydroxychloroquine for COVID-19 prophylaxis; (4) the petition did not include required consumer study data to support a prescription-to-OTC switch; and (5) serious risks associated with hydroxychloroquine use remain, including cardiac toxicity and other adverse effects, which require professional supervision."
FDA-2020-P-2067-0006_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"July 27, 2023","Center for Drug Evaluation and Research (CDER), Office of Generic Drugs",Approved,"Section 505(j)(2)(C) of the FD&C Act, 21 CFR 314.93, 21 CFR 314.94(a)(3)(iii), Section 505(j)(2)(A) and (B), Section 505(j)(2)(A)(iv)","The FDA approved the petition to allow submission of an Abbreviated New Drug Application (ANDA) for Baclofen Tablets, 15 mg, a strength not previously approved for the listed drug Lioresal® (10 mg and 20 mg). The agency determined that the proposed change in strength does not pose questions of safety or effectiveness, aligns with current dosing recommendations, and would not require significant labeling changes. If bioequivalence is demonstrated, the product can be expected to have the same therapeutic effect as the reference listed drug. Therefore, no new investigations are necessary to support the safety and effectiveness of the new strength."
FDA-2020-P-2077-0002_Acknowledgment_Letter_from_FDA_DMS_to_The_Weinberg.pdf,"October 13, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges receipt and procedural filing of the petition requesting that Vasopressin Injection USP in specified formulations be declared suitable for submission as an ANDA. The FDA clarified that the acceptance of the petition is procedural and does not indicate any decision on its substantive merits.
FDA-2020-P-2096-0012_Response_to_Petition_for_Reconsideration_from_FDA_.pdf,"May 12, 2022","Office of the Commissioner, Associate Commissioner for Policy",Denied,"21 CFR § 10.33, 21 CFR § 10.25, 21 CFR § 10.3(a)","The FDA denied the Petition for Reconsideration submitted by Siri & Glimstad LLP on behalf of the Informed Consent Action Network (ICAN) regarding the Phase 3 clinical trial design for the Ad26.COV2.S COVID-19 vaccine. The agency found that the petitioner failed to demonstrate that relevant information or views in the administrative record had not been previously or adequately considered, which is a required condition under 21 CFR § 10.33(d)(1). The FDA reviewed and addressed all original concerns in its prior response, including those related to adverse event monitoring, pediatric sample size, germline transmission testing, T-cell reactivity testing, and HIV incidence monitoring. Because the petitioner did not meet the first of four regulatory criteria, the FDA did not consider the remaining criteria and denied the request."
FDA-2020-P-2102-0002_Acknowledgment_Letter_from_FDA_DMS_to_Aurora_Pharm.pdf,"October 20, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,"The letter acknowledges receipt and procedural filing of the petition submitted by Aurora Pharmaceutical, Inc., requesting permission to submit an Abbreviated New Animal Drug Application (ANADA) for a generic firocoxib oral solution differing in dosage form and strength from the reference listed new animal drug (RLNAD). The FDA clarified that this acceptance is procedural and does not imply any decision on the petition’s substantive merits."
FDA-2020-P-2130-0002_Acknowledgment_Letter_from_FDA_DMS_to_Fresenius_Ka.pdf,"October 26, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,"The letter confirms procedural receipt and filing of the petition requesting that FDA determine whether Bortezomib for Injection, 2.5 mg/vial, has been withdrawn from sale for reasons of safety or effectiveness. The FDA clarified that this acknowledgment does not indicate any evaluation or decision on the substantive content of the petition."
FDA-2020-P-2132-0002_Acknowledgement_Letter_from_FDA_DMS_to_HYMAN__PHEL.pdf,"October 27, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,"The FDA acknowledged receipt and procedural filing of the petition requesting designation of ANDA 201355 (Nitrofurantoin Oral Suspension, 25 mg/5 mL) as a reference standard (RS) to support the submission of future ANDAs. The agency clarified that this acknowledgment does not constitute a decision on the petition's merits."
FDA-2020-P-2133-0004_Response_Letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"May 17, 2021",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(b)(2), 21 U.S.C. § 355(j), 21 CFR 314.3, 21 CFR 314.50, 21 CFR 314.54, 21 CFR 314.94, 21 CFR 314.101","The FDA denied the petition from Fresenius Kabi requesting that any 505(b)(2) or ANDA for levothyroxine sodium intravenous solution must reference NDA 210632. The agency concluded that Custopharm’s product (NDA 214253) is not pharmaceutically equivalent to any Fresenius product under NDA 210632 due to differences in strength (total drug content and concentration). As a result, Custopharm is not required to identify NDA 210632 as a listed drug. FDA emphasized that there is no requirement for a 505(b)(2) applicant to rely on the 'closest pharmaceutical equivalent' if the products are not actually pharmaceutically equivalent. The agency also clarified that Custopharm properly filed its application under the 505(b)(2) pathway and was not required to certify patents listed for NDA 210632. Therefore, the FDA found no grounds to refuse filing or approval of Custopharm's application and denied the petition in its entirety."
FDA-2020-P-2134-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Natural_.pdf,"April 19, 2021",Center for Food Safety and Applied Nutrition (CFSAN),Interim Response (no final decision yet),Not Mentioned,The FDA issued an interim response acknowledging receipt of the citizen petition submitted by Natural Products Association. The agency stated that it has not yet reached a final decision due to the need for additional time to fully evaluate the issues raised in the petition. The FDA committed to responding fully once its review is complete.
FDA-2020-P-2136-0006_Final_Response_from_FDA_CBER_to_Siri___Glimstad__L.pdf,"September 5, 2023",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR 10.30(e)(3), 21 CFR 601.2(a), 21 CFR 201.56, 21 CFR 201.57, 21 CFR 201.100(d), 21 CFR 601.12(f), Section 351 of the Public Health Service (PHS) Act, Section 502 of the FD&C Act","The FDA denied the petition requesting that manufacturers of acellular pertussis-containing vaccines be required to amend their package inserts to disclose that the vaccines do not prevent infection and transmission. The agency explained that its vaccine licensure standards do not require prevention of infection or transmission—only that a vaccine is safe and effective for its intended use. The currently licensed vaccines are indicated for prevention of pertussis disease, not infection. The existing labeling is accurate and complies with statutory and regulatory requirements. FDA found no evidence of a widespread public misconception requiring a labeling change and concluded that the petitioner’s arguments and supporting studies did not justify the requested amendment."
FDA-2020-P-2144-0002_Acknowledgment_Letter_from_FDA_DMS_to_Robert_van_O.pdf,"October 30, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges procedural receipt and filing of the petition requesting FDA to declare that a drug product containing Ticagrelor 90 mg in an orally disintegrating tablet form is suitable for submission as an Abbreviated New Drug Application (ANDA). The agency clarified that acceptance for filing is procedural and does not reflect any substantive evaluation or decision.
FDA-2020-P-2146-0003_Response_Letter_from_FDA_CDER_to_BF_Innovation__In.pdf,"April 2, 2021",Center for Drug Evaluation and Research (CDER),Denied (product not withdrawn for safety or effectiveness reasons),Not Mentioned,"The FDA determined that Cutivate (fluticasone propionate) ointment, 0.005%, was not withdrawn from sale for reasons related to safety or effectiveness. As a result, the product will remain listed in the 'Discontinued Drug Product List' section of the Orange Book, indicating it is still eligible to serve as a reference listed drug for generic drug applications."
FDA-2020-P-2166-0002_Acknowledgment_Letter_from_FDA_DMS_to_Emprise_Phar.pdf,"November 5, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges procedural receipt and filing of the petition requesting permission to submit an Abbreviated New Drug Application (ANDA) for Carvedilol bilayered extended release tablets using Coreg CR capsules as the Reference Listed Drug. The FDA clarified that acceptance for filing is procedural and does not reflect any evaluation or decision on the petition's substantive merits.
FDA-2020-P-2174-0005_Agency_Response_from_FDA_CDER_to_Lachman_Consultin.pdf,"June 7, 2021",Center for Drug Evaluation and Research (CDER),Denied (product not withdrawn for safety or effectiveness reasons),Not Mentioned,"The FDA determined that Atrovent (ipratropium bromide), metered spray, 0.021 mcg/spray and 0.042 mcg/spray, was not withdrawn from sale for reasons related to safety or effectiveness. Consequently, the product will remain listed in the 'Discontinued Drug Product List' section of the Orange Book, indicating its continued eligibility as a reference listed drug for generic applications."
FDA-2020-P-2175-0002_Acknowledgment_Letter_from_FDA_DMS_to_Lachman_Cons.pdf,"November 5, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges procedural receipt and filing of the petition requesting that Succinylcholine Chloride Injection in specified prefilled syringe formats be declared suitable for submission as an Abbreviated New Drug Application (ANDA). The FDA clarified that this acceptance is procedural and does not reflect a decision on the substantive merits of the petition.
FDA-2020-P-2180-0070_Denial_Letter_from_FDA_CBER_to_Siri___Glimstad_LLP.pdf,"December 11, 2020",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR § 10.30(e)(3), 21 CFR § 10.35(e), 21 CFR § 312.2, 21 CFR § 312.42, 21 CFR § 601.2(a), 21 CFR § 601.2(d), 21 CFR § 601.4(a), 21 U.S.C. § 262, 21 U.S.C. § 321(g)(1)(B), 21 U.S.C. § 355(i)(3), 21 U.S.C. § 360bbb-3","The FDA denied the petition and administrative stay request submitted by Siri & Glimstad LLP on behalf of ICAN, which sought amendments to the Phase 3 clinical trial designs of several COVID-19 vaccines. The petition requested the inclusion of endpoints such as reduction in severe disease, limitation on PCR cycle thresholds, measurement of transmission interruption, and T-cell reactivity. The FDA determined that these changes were not scientifically justified, would delay critical trials unnecessarily, and were not required by law. The agency emphasized that the current trial designs met all regulatory and scientific standards for safety and efficacy assessment, and that requiring the proposed changes would not be in the public interest, nor aligned with regulatory norms or public health priorities during a pandemic. The FDA further clarified its statutory and regulatory authority over INDs and clinical trials, and affirmed that its review processes already ensure robust data integrity and patient safety."
FDA-2020-P-2187-0002_Acknowledgment_Letter_from_FDA_DMS_to_Lachman_Cons.pdf,"November 13, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The letter acknowledges procedural receipt and filing of the petition requesting that Vancomycin Hydrochloride for Oral Solution EQ 125 mg (base)/5 mL be declared suitable for submission as an Abbreviated New Drug Application (ANDA). The FDA clarified that acceptance for filing is a procedural matter and does not indicate any decision on the petition’s substantive merits.
FDA-2020-P-2193-0007_Interim_Response_from_FDA_CDER_to_Epstein_Becker_a.pdf,"May 12, 2021",Center for Drug Evaluation and Research (CDER),Interim Response (no final decision yet),21 CFR 10.30(e)(2),"The FDA issued an interim response stating that it has not yet resolved the issues raised in the citizen petition concerning the approval of roxadustat (FG-4592). The petition requested the agency to withhold approval of any New Drug Application for roxadustat until further safety data is submitted and to consider requiring a boxed warning on the label. The FDA noted that the petition raises complex issues requiring extensive review and analysis, and assured that a full response will be issued once a decision is made."
FDA-2020-P-2212-0051_Interim_response_from_FDA_CDER_to_Encore_Dermatolo.pdf,"May 11, 2021",Center for Drug Evaluation and Research (CDER),Interim Response (no final decision yet),21 CFR 10.30(e)(2),"The FDA issued an interim response stating that it has not yet resolved the issues raised in the citizen petition submitted by Encore Dermatology. The petition requested the FDA to refuse approval of Glenmark’s ANDA for a generic clobetasol propionate product due to significant formulation changes affecting safety and effectiveness. It also requested that any such products be submitted as NDAs with additional supporting data or, if approved as ANDAs, include comparative clinical endpoint studies and safety data. The FDA cited competing priorities as the reason for the delay in issuing a final decision."
FDA-2020-P-2213-0045_Final_Response_from_FDA_CDER_to_Kenneth_Surprenant.pdf,"December 14, 2022",Center for Drug Evaluation and Research (CDER),Granted in part and denied in part,"21 CFR 201.56(a), 21 CFR 201.57(c)(1), 21 CFR 201.57(c)(3)(i), 21 CFR 201.57(c)(18), 21 CFR 201.100(c), 21 CFR 314.80(a), 21 CFR 809.3, 21 CFR 862.3364, 21 CFR 201.57(c)(13), 21 CFR 10.30(e)(3)","The FDA partially granted the petition by approving updates to Xeloda’s labeling regarding DPD (dihydropyrimidine dehydrogenase) deficiency, including enhanced WARNINGS AND PRECAUTIONS, PATIENT COUNSELING INFORMATION, and a new PHARMACOGENOMICS section. These changes clarify risks and testing considerations for patients with DPYD variants. However, the agency denied requests to include a BOXED WARNING or to mandate universal DPD screening, citing insufficient evidence on the accuracy and benefits of current tests, potential harms from inaccurate results, and concerns about test generalizability across diverse populations. Requests for similar changes to fluorouracil labeling were also denied pending further review."
FDA-2020-P-2225-0008_SOA_Denial_Letter_from_FDA_CBER__to_Siri___Glimsta.pdf,"December 11, 2020",Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR §§ 10.30(e)(3), 10.35(e), 312.2, 312.20(a), 312.42, 601.2(d); 21 U.S.C. §§ 355(i)(3), 360bbb-3, 262(a)(2)(C)(i)(I), 321(g)(1)(B)","The FDA denied both the citizen petition and the petition for stay of action submitted by Siri & Glimstad LLP on behalf of Dr. Sin Hang Lee. The petition requested that all positive COVID-19 PCR results used to determine vaccine efficacy in the Pfizer Phase 3 trial be verified by Sanger sequencing due to concerns about false positives from high cycle threshold values. The FDA responded that the requested confirmatory step lacks scientific merit. PCR tests authorized for use have demonstrated sufficient sensitivity and specificity, and Sanger sequencing is not required for confirmation. The agency also emphasized that EUA and licensure decisions for COVID-19 vaccines are based on rigorous data review and standards of safety, efficacy, and manufacturing quality. Additionally, the petition for administrative stay failed to meet the regulatory criteria, as the petitioner did not demonstrate irreparable injury, sound public policy grounds, or that delay would not harm public health interests. FDA concluded that clinical trials should not be halted based on unsupported claims lacking scientific justification."
FDA-2020-P-2234-0002_Acknowledgment_Letter_from_FDA_DMS_to_Ray_Law_Firm.pdf,"November 25, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no substantive decision made),Not Mentioned,The FDA acknowledged procedural receipt and filing of the petition requesting the agency to allow the filing of an Abbreviated New Drug Application (ANDA) for Cefpodoxime Proxetil Tablets with the addition of a 50 mg tablet strength. The agency emphasized that this acceptance is procedural and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-2236-0004_Final_Response_to_Covington___Burling_LLP_from_FDA.pdf,"December 30, 2022",Center for Drug Evaluation and Research (CDER),Dismissed in part and denied in part,"21 U.S.C. § 384(j)(2), 21 CFR § 10.25(a), 21 CFR § 10.30(e)(3)","The FDA dismissed as moot the portion of the petition requesting withdrawal of the Personal Importation RFP and a halt to approval of Individual Waiver Importation Plans (IWIPs), as HHS had already withdrawn the relevant documents. The remaining requests were denied on the grounds that they were either legally improper for a citizen petition (e.g., asking FDA to comply with legal requirements), or irrelevant since section 804(j) is not currently in effect and no related implementation is underway. FDA concluded that addressing hypothetical procedural implementations would not be an efficient use of agency resources at this time."
FDA-2020-P-2237-0004_Response_to_Citizen_Petition_from_FDA_OC_to_Dr__S_.pdf,"August 4, 2021",Office of the Chief Scientist (OC),Denied,"Section 564(g)(1), Section 564(f) of the Federal Food, Drug, and Cosmetic (FD&C) Act; EUA Guidance; PDUFA; MDUFA",FDA found no justification for setting arbitrary time limits on Emergency Use Authorizations (EUAs). It emphasized that product development timelines vary greatly and are not suitable for a standardized limit. The agency noted it already reviews EUAs periodically and collaborates with industry to facilitate transitions to full approvals. FDA argued that time limits would not incentivize further development or reduce fraudulent activities. The agency also stated that existing statutory mechanisms already account for revocation and changes in emergency circumstances.
FDA-2020-P-2244-0010_Response_Letter_from_FDA_CDER_to_Camargo_Pharmaceu.pdf,"May 19, 2021",Center for Drug Evaluation and Research (CDER),Denied,Not explicitly stated,"FDA reviewed its records and determined that Isoptin (verapamil hydrochloride) tablets (40 mg, 80 mg, 120 mg) and Calan (verapamil hydrochloride) tablets (40 mg, 80 mg, 120 mg, 160 mg) were not withdrawn from sale for reasons of safety or effectiveness. Therefore, they will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-2245-0011_Letter_from_FDA_CDER_to_Camargo_Pharmaceutical_Ser.pdf,"May 19, 2021",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,"FDA determined that Isoptin (verapamil hydrochloride) tablets (40 mg, 80 mg, 120 mg) and Calan (verapamil hydrochloride) tablets (40 mg, 80 mg, 120 mg, 160 mg) were not withdrawn from sale for reasons of safety or effectiveness. Therefore, the products will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
