File Name,Date of Response,Identity of Submitting Entity,Source_Year
FDA-2012-P-1009-0003_FDA_CDER_Response_Letter_to_Pfizer_Inc_Covington__.pdf,9/25/12,Pfizer Inc Covington,2012
FDA-2012-P-1034-0003_Interim_Response_to_Lachman_Consultant_Sevices_Inc.pdf,10/1/12,Lachman Consultant Sevices Inc,2012
FDA-2012-P-1052-0006_FDACDER_Interim_Response_to_James_Flory_MD_MSCE_et.pdf,"October 9, 2012",James Flory MD MSCE et,2012
FDA-2012-P-1053-0003_Interim_Response_from_FDA_CDER_to_Public_Citizen.pdf,10/11/12,FDA CDER to Public Citizen,2012
FDA-2012-P-1071-0004_FDA_CDER_Response_to_Law_Office_of_Alvin_J_Lorman_.pdf,"October 16, 2012",Law Office of Alvin J Lorman,2012
FDA-2012-P-1072-0003_FDA_CDER_Response_to_Boehringer_Ingelheim_Pharmace.pdf,"October 17, 2012",Boehringer Ingelheim Pharmace,2012
FDA-2012-P-1072-0006_Final_Response_from_FDA_CDER_to_Boehringer_Ingelhe.pdf,"October 17, 2012",FDA CDER to Boehringer Ingelhe,2012
FDA-2012-P-1095-0003_FDA_CDER_Interim_Response_to_Resveratrol_Partners_.pdf,"October 31, 2012",Resveratrol Partners,2012
FDA-2012-P-1107-0022_FDA_OC_Response_to_FzioMed_Inc_Hogan_Lovells_US_LL.pdf,11/21/12,FzioMed Inc Hogan Lovells US LL,2012
FDA-2012-P-1127-0003_FDA_CDER_Interim_Response_to_Onco_Therapies_Limite.pdf,"November 8, 2012",Onco Therapies Limite,2012
FDA-2012-P-1128-0006_FDA_CVM_Response_to_Dechra_Ltd_Approval_of_Petitio.pdf,"November 8, 2012",Dechra Ltd Approval of Petitio,2012
FDA-2012-P-1147-0003_Response_Letter_from_FDA_CDER_to_Foley___Lardner_L.pdf,"November 13, 2012",FDA CDER to Foley   Lardner L,2012
FDA-2012-P-1158-0003_FDA_CVM_Interim_Response_dated_May_16_2013__Respon.pdf,11/21/12,Milagros Demier,2012
FDA-2012-P-1160-0003_FDA_CDER_Interim_Response_to_Steven_A_Zecola_Redac.pdf,"November 20, 2012",Steven A Zecola Redac,2012
FDA-2012-P-1179-0009_Interim_Response_to_Jack_M__Saroyan__DDS__Letter.pdf,12/10/12,Jack M  Saroyan  DDS  Letter,2012
FDA-2012-P-1189-0003_Response_Letter_to_StarKist_Seafood_Company_from_F.pdf,"June 20, 2014",F,2012
FDA-2012-P-1252-0003_Interim_Response_to_the_Animal_Legal_Defense_Fund_.pdf,"February 28, 2025",the Animal Legal Defense Fund,2012
FDA-2012-P-1252-0006_Final_Response_Letter_from_FDA_CVM_to_Animal_Legal.pdf,"February 28, 2025",FDA CVM to Animal Legal,2012
FDA-2012-P-1265-0003_Interim_Response_to_Indicus_Pharma_LLC.pdf,12/31/12,Indicus Pharma LLC,2012
FDA-2012-P-1265-0004_Response_Letter_from_FDA_CDER.pdf,12/31/12,FDA CDER,2012
FDA-2013-P-0735-0006_FDA_Response_to_joint_appeal_in_FDA_2012_P_0119_an.pdf,"January 19, 2017",joint appeal in FDA 2012 P 0119 an,2013
FDA-2014-P-0038-0003_Interim_Response_Letter_from_FDA_CDRH_to_Riverain_.pdf,"December 18,2013",FDA CDRH to Riverain,2014
FDA-2014-P-0038-0004_Final_Response_letter_for_FDA_2017_P_3884_and_FDA_.pdf,"December 18, 2013",,2014
FDA-2014-P-0111-0003_Interim_Response_Letter_from_FDA_CDRH_to_LaMaitre_.pdf,"January 
9, 2014",FDA CDRH to LaMaitre,2014
FDA-2014-P-0111-0004_Response_Letter_from_FDA_CDRH_to_Xiang_Zhang.pdf,1/24/14,FDA CDRH to Xiang Zhang,2014
FDA-2014-P-0112-0004_Final_Response_Letter_from_FDA_CDRH_to_NadaChair_R.pdf,"March 1, 2024",FDA CDRH to NadaChair R,2014
FDA-2014-P-0143-0008_Interim_Response_from_FDA_CDRH_to_Gail_Gudmundsen_.pdf,"January 16, 2014",FDA CDRH to Gail Gudmundsen,2014
FDA-2014-P-0143-0009_Final_Response_from_FDA_CDRH_to_Gail_Gudmundsen_Re.pdf,"October 23, 2021",FDA CDRH to Gail Gudmundsen Re,2014
FDA-2014-P-0158-0003_Interim_Response_Letter_from_FDA_CDRH_to_H__Christ.pdf,"January 20, 2014",FDA CDRH to H  Christ,2014
FDA-2014-P-0158-0004_Interim_Response_from_FDA_CDRH_to_H__Christopher_S.pdf,"January 20,2014",FDA CDRH to H  Christopher S,2014
FDA-2014-P-0159-0005_Interim_Response_Letter_from_FDA_CDRH_to_Etymotic_.pdf,"July 22, 2014",FDA CDRH to Etymotic,2014
FDA-2014-P-0159-0006_Response_Letter_from_Etymotic_Research_Inc.pdf,"July 29, 2014",Etymotic Research Inc,2014
FDA-2014-P-0159-0012_Second_Interim_Response_from_FDA_CDRH_to_Etymotic_.pdf,"January 28, 2014",FDA CDRH to Etymotic,2014
FDA-2014-P-0159-0014_Final_Response_from_FDA_CDRH_to_Etymotic_Research_.pdf,"October 23, 2021",FDA CDRH to Etymotic Research,2014
FDA-2014-P-0245-0003_Interim_Response_Letter_from_FDA_CDER_to_Sugar_Ass.pdf,"March 5, 2014",FDA CDER to Sugar Ass,2014
FDA-2014-P-0259-0006_Interim_Response_from_FDA_CFSAN_to_Sabra_Dipping_C.pdf,"March 10, 2014",FDA CFSAN to Sabra Dipping C,2014
FDA-2014-P-0315-0004_Response_Letter_From_FDA_CDER_to_Lachman_Consultan.pdf,"March 18, 2014",FDA CDER to Lachman Consultan,2014
FDA-2014-P-0328-0003_Interim_Response_from_FDA_CDER_to_Hyman_Phelps_and.pdf,"March 19, 2014",FDA CDER to Hyman Phelps and,2014
FDA-2014-P-0367-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,"March 28, 2014",FDA CDER to Hyman Phe,2014
FDA-2014-P-0377-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,4/4/14,FDA CDER to Hyman Phe,2014
FDA-2014-P-0404-0004_Response_from_FDA_CDER_Partial_Approval_and_Denial.pdf,4/10/14,FDA CDER Partial Approval and Denial,2014
FDA-2014-P-0405-0003_Interim_Response_from_FDA_CDER_to_Ken_Surprenant_R.pdf,4/8/14,FDA CDER to Ken Surprenant R,2014
FDA-2014-P-0405-0012_Partial_Approval_Final_Response.pdf,"March 20, 2015",,2014
FDA-2014-P-0407-0007_Interim_Response_from_FDA_CDER_to_Almatica_Pharma_.pdf,4/3/14,"Almatica Pharma, Inc.",2014
FDA-2014-P-0446-0003_Final_Response_Letter_from_FDA_to_Pisani___Roll_LL.pdf,4/11/14,Starkist Company (Pisani And Roll Llp),2014
FDA-2014-P-0497-0003_Interim_Response_from_FDA_CDER_to_Ken_Surprenant_R.pdf,4/19/14,Ken Surprenant,2014
FDA-2014-P-0497-0009_Partial_Approval_Final_Response.pdf,4/19/14,Ken Surprenant,2014
FDA-2014-P-0511-0003_Interim_Response_from_FDA_CDER_to_Agila_Specialtie.pdf,4/21/14,Agila Specialties Inc.,2014
FDA-2014-P-0549-0004_Response_Letter_From_FDA_CDER_to_Emcure_Pharmaceut.pdf,"August 25, 2014",FDA CDER to Emcure Pharmaceut,2014
FDA-2014-P-0585-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Capstone.pdf,5/1/14,A. Haggag (Capstone Law),2014
FDA-2014-P-0594-0010_Interim_Response_Letter_from_FDA_CDER_to_Hyman_Phe.pdf,5/5/14,Hyman Phelps Mcnamara P.C.,2014
FDA-2014-P-0628-0004_Interim_Response_From_CFSAN_to_Shauce_Co_.pdf,5/1/14,Shauce Company,2014
FDA-2014-P-0637-0005_Response_Letter_From_FDA_CDER_to_Lachman_Consultan.pdf,5/15/14,"Lachman Consultant Services, Inc.",2014
FDA-2014-P-0654-0010_Final_Response_Letter_from_FDA_CDRH_to_Edwards_Lif.pdf,5/6/14,Edwards Lifesciences Llc,2014
FDA-2014-P-0654-0011_Response_to_Request_for_Reconsideration_from_Edwar.pdf,5/6/14,Edwar,2014
FDA-2014-P-0654-0012_Variance_Approval_from_FDA_CDRH_to_Edwards_Lifesci.pdf,"June 10, 2014",FDA CDRH to Edwards Lifesci,2014
FDA-2014-P-0687-0007_Interim_Response_Letter_from_FDA_CDRH_to_Margaret_.pdf,5/20/14,Margaret Moline,2014
FDA-2014-P-0724-0013_Interim_Response_Letter_from_FDA_CDRH_to_Rocky_Mou.pdf,10/27/14,Barbara Spohn-Lillo,2014
FDA-2014-P-0802-0004_Second_Interim_Response_from_FDA_CDRH_to_Moon_T__K.pdf,1/22/14,Moon T. Kwon,2014
FDA-2014-P-0802-0005_Final_Response_from_FDA_CDRH_to_Moon_T_Kwon_Redact.pdf,1/22/14,Moon T. Kwon,2014
FDA-2014-P-0814-0007_Interim_Response_From_FDA_CDER_to_the_Center_for_R.pdf,6/18/14,The Center For Responsible Science,2014
FDA-2014-P-0823-0004_Interim_Response_Letter_from_FDA_CDER_to_Richard_D.pdf,6/12/14,Richard D. Burk,2014
FDA-2014-P-0823-0013_Agency_Response_Letter_From_FDA_CDER_to_Richard_D_.pdf,6/12/14,Richard D. Burk,2014
FDA-2014-P-0825-0006_Interim_Response_Letter_from_FDA_CDRH_to_Orthofix_.pdf,6/19/14,Orthofix Inc.,2014
FDA-2014-P-0830-0004_Interim_Response.pdf,6/19/14,"Merz North America (Buchanan, Ingersoll And Rooney Pc)",2014
FDA-2014-P-0830-0006_Denial_letter_from_FDA_CDER_to_Merz_North_America_.pdf,6/19/14,"Merz North America (Buchanan, Ingersoll And Rooney Pc)",2014
FDA-2014-P-0831-0007_Interim_Response_Letter_from_FDA_CDRH_to_Orthofix_.pdf,"December 17, 2014",FDA CDRH to Orthofix,2014
FDA-2014-P-0856-0007_Interim_Response_From_CDER_to_SONAR.pdf,6/18/14,The Southern Network On Adverse Reactions,2014
FDA-2014-P-0862-0003_Interim_Response_From_CDER_to_The_Alliance_for_Nat.pdf,6/23/14,The Alliance For Natural Health Usa,2014
FDA-2014-P-0862-0004_Final_Response_From_CDER_to_The_Alliance_for_Natur.pdf,6/23/14,The Alliance For Natural Health Usa,2014
FDA-2014-P-0908-0005_Denial_Response_Letter_from_FDA_CDRH_to_Mothers_Ag.pdf,"January 27, 2015",FDA CDRH to Mothers Ag,2014
FDA-2014-P-0919-0004_Interim_Response_from_CDRH_to_Daniel_Schumaier.pdf,"December 23,2014",CDRH to Daniel Schumaier,2014
FDA-2014-P-0919-0005_Interim_Response_Letter_from_FDA_CDRH_to_Daniel_Sc.pdf,"June 18, 2014",FDA CDRH to Daniel Sc,2014
FDA-2014-P-0919-0006_Final_Response_from_FDA_CDRH_to_Daniel_Schumaier_R.pdf,"October 23, 2021",FDA CDRH to Daniel Schumaier R,2014
FDA-2014-P-0935-0009_Interim_Response_from_FDA_CFSAN_to_Juice_Products_.pdf,"July 3, 2014",FDA CFSAN to Juice Products,2014
FDA-2014-P-0979-0005_Response_Letter_from_FDA_CDER_to_Emcure_Pharmaceut.pdf,"July 3, 2014",FDA CDER to Emcure Pharmaceut,2014
FDA-2014-P-1101-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"July 25, 2014",FDA CDER to Lachman Consultan,2014
FDA-2014-P-1102-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"July 25, 2014",FDA CDER to Lachman Consultan,2014
FDA-2014-P-1256-0003_Interim_Response_Letter_from_FDA_CDER_to_Public_Ci.pdf,"July 28, 2014",FDA CDER to Public Ci,2014
FDA-2014-P-1256-0004_Response_Letter_from_FDA_CDER_to_Public_Citizen_s_.pdf,"July 28, 2014",FDA CDER to Public Citizen s,2014
FDA-2014-P-1258-0003_Interim_Response_Letter_from_FDA_CDER_to_SoLRx_Glo.pdf,"August 13,2014",FDA CDER to SoLRx Glo,2014
FDA-2014-P-1281-0005_Interim_Response_Letter_from_FDA_CDER_to_Arnall_Go.pdf,"July 10, 2014",FDA CDER to Arnall Go,2014
FDA-2014-P-1353-0003_Denial_Response_from_FDA_CFSAN_to_the_Internationa.pdf,"September 5, 2014",FDA CFSAN to the Internationa,2014
FDA-2014-P-1429-0004_Interim_Response_Letter_from_FDA_CFSAN_to_Oliver_B.pdf,"March 4, 2015",FDA CFSAN to Oliver B,2014
FDA-2014-P-1562-0003_Interim_Response_from_FDA_CDER_to_the_Institute_fo.pdf,"October 8, 2014",FDA CDER to the Institute fo,2014
FDA-2014-P-1576-0005_Interim_Response_from_CDER_to_Gordon_Johnston_Regu.pdf,"October 9, 2014",CDER to Gordon Johnston Regu,2014
FDA-2014-P-1611-0003_Interim_Response_From_CDER_to_the_Southern_Network.pdf,10/15/14,CDER to the Southern Network,2014
FDA-2014-P-1611-0005_Partial_Approval_and_Partial_Denial_Response_From_.pdf,10/15/14,Southern Network On Adverse Reactions Sonar,2014
FDA-2014-P-1622-0012_Interim_Response_From_CDER_to_Genesee_Health_Syste.pdf,"September 10, 2014",CDER to Genesee Health Syste,2014
FDA-2014-P-1656-0007_Final_Response_Letter_from_FDA_to__Alaska_Seafood_.pdf,"November 16, 2017",FDA to  Alaska Seafood,2014
FDA-2014-P-1673-0003_Interim_Response_Letter_from_FDACDRH_to_Tia_Gonnel.pdf,"December 22, 2014",FDACDRH to Tia Gonnel,2014
FDA-2014-P-1685-0003_Interim_Response_from_CDER_to_Larry_R__Pilot.pdf,"September 22, 2014",CDER to Larry R  Pilot,2014
FDA-2014-P-1753-0006_Interim_Response_Letter_from_FDA_CDER_to_Angela_St.pdf,"October 28, 2014",FDA CDER to Angela St,2014
FDA-2014-P-1773-0003_Interim_Response_from_CDER_to_PPSI.pdf,"September 8, 2014",CDER to PPSI,2014
FDA-2014-P-1784-0005_Interim_Response_to_the_Wood_Burditt_Group.pdf,"August 15, 2014",the Wood Burditt Group,2014
FDA-2014-P-1796-0004_Interim_Response_Letter_from_FDA_CDER_to_Hogan_Lov.pdf,"October 31, 2014",FDA CDER to Hogan Lov,2014
FDA-2014-P-1844-0004_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"November 5, 2014",FDA CDER to Lachman C,2014
FDA-2014-P-1882-0003_Final_Response_from_FDA_CFSAN_to_the_Isabella_Guaj.pdf,11/10/14,FDA CFSAN to the Isabella Guaj,2014
FDA-2014-P-1883-0006_Response_Letter_from_FDA_CDER_to_Lannett_Holdings_.pdf,"November 10, 2014",FDA CDER to Lannett Holdings,2014
FDA-2014-P-2035-0014_Interim_Response_Letter_from_FDA_CFSAN_to_Dr_Carla.pdf,"November 25, 2014",FDA CFSAN to Dr Carla,2014
FDA-2014-P-2035-0336_Final_Response_from_FDA_CFSAN_to_Texas_Children_s_.pdf,"November 06, 2023",FDA CFSAN to Texas Children s,2014
FDA-2014-P-2140-0008_Denial_letter_from_FDA_CDER_to_Lachman_Consultant_.pdf,"September 22, 2014",FDA CDER to Lachman Consultant,2014
FDA-2014-P-2276-0006_Interim_Response_Letter_from_FDA_CDER_to_Alan_Labo.pdf,"December 23, 2014",FDA CDER to Alan Labo,2014
FDA-2014-P-2301-0003_Interim_Response_Letter_from_FDA_CDER_to_Probiomed.pdf,"December 26, 2014",FDA CDER to Probiomed,2014
FDA-2015-P-0014-0003_Interim_Response_from_FDA_CDRH_to_Edward_L__Boshni.pdf,1/5/15,FDA CDRH to Edward L  Boshni,2015
FDA-2015-P-0014-0004_Interim_Response_from_FDA_CDRH_to_Richard_B__Smith.pdf,1/5/15,FDA CDRH to Richard B  Smith,2015
FDA-2015-P-0014-0005_Interim_Response_from_FDA_CDRH_to_Roger_D__Davis_R.pdf,1/5/15,FDA CDRH to Roger D  Davis R,2015
FDA-2015-P-0014-0006_Final_Response_from_FDA_CDER_to_Edward_L__Boshnick.pdf,"September 5, 2022",FDA CDRH to Edward L  Boshnick,2015
FDA-2015-P-0014-0006_Final_Response_from_FDA_CDRH_to_Edward_L__Boshnick.pdf,"September 5, 2022",FDA CDRH to Edward L  Boshnick,2015
FDA-2015-P-0051-0004_Inrange_Trade_Complaint_Response_Letter_Final.pdf,"March 2, 2015",,2015
FDA-2015-P-0059-0004_Interim_Response_Letter_from_FDA_CFSAN_to_CSPI.pdf,"December 9, 2014",FDA CFSAN to CSPI,2015
FDA-2015-P-0059-0013_Denial_response_letter_from_FDA_CFSAN_to_Center_fo.pdf,"April 16, 2018",FDA CFSAN to Center fo,2015
FDA-2015-P-0095-0009_Final_Response_Letter_from_FDA_CDRH_to_DuVal_and_A.pdf,1/9/15,FDA CDRH to DuVal and A,2015
FDA-2015-P-0233-0010_Interim_Response_Letter_from_FDA_CDER_to_the_Madis.pdf,"January 22, 2015",FDA CDER to the Madis,2015
FDA-2015-P-0403-0005_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"February 5, 2015",FDA CDER to Lachman C,2015
FDA-2015-P-0464-0022_Interim_Response_Letter_from_FDA_CDER_to_Colgate_P.pdf,"February 11, 2015",FDA CDER to Colgate P,2015
FDA-2015-P-0464-0025_Response_Letter_from_FDA_CDER_to_Colgate_Palmolive.pdf,"February 11, 2015",FDA CDER to Colgate Palmolive,2015
FDA-2015-P-0543-0011_Interim_Response_Letter_from_FDA_CDER_to_Gland_Pha.pdf,"February 19, 2015",FDA CDER to Gland Pha,2015
FDA-2015-P-0543-0012_Final_Response_Letter_from_FDA_CDER_to_Gland_Pharm.pdf,"February 19, 2015",FDA CDER to Gland Pharm,2015
FDA-2015-P-0578-0004_Interim_Response_from_FDA_CDER_to_Public_Citizen_s.pdf,"February 24, 2015",FDA CDER to Public Citizen s,2015
FDA-2015-P-0613-0003_Interim_Response_Letter_from_FDA_CDER_to_Qilu_Phar.pdf,"February 25, 2015",FDA CDER to Qilu Phar,2015
FDA-2015-P-0613-0004_FDA_2015_P_0613___Final_CP_Response.pdf,"February 25, 2015",Qilu Pharma  Inc,2015
FDA-2015-P-0633-0003_Interim_Response_from_FDA_CDER_to_University_of_Ke.pdf,"February 27, 2015",FDA CDER to University of Ke,2015
FDA-2015-P-0633-0020_Final_Response_Letter_from_FDA_to_Jonathan_Smith.pdf,"February 27, 2015",FDA to Jonathan Smith,2015
FDA-2015-P-0711-0004_Interim_Response_Letter_from_FDA_CBER_to_Larry_Gar.pdf,"March 5, 2015",FDA CBER to Larry Gar,2015
FDA-2015-P-0732-0110_Interim_Response_Letter_from_FDA_CDER_to_Arnold_an.pdf,"March 9, 2015",FDA CDER to Arnold an,2015
FDA-2015-P-0732-0117_Response_Letter_to_Arnold___Porter_LLP_from_FDA_CD.pdf,"March 9, 2015",FDA CD,2015
FDA-2015-P-0762-0003_Interim_Response_from_FDA_CFSAN_to_Pharmacists_Pla.pdf,"September 24, 2015",FDA CFSAN to Pharmacists Pla,2015
FDA-2015-P-0840-0023_Interim_Response_Letter_from_FDA_CDER_to_Dr__Richa.pdf,"March 17, 2015",FDA CDER to Dr  Richa,2015
FDA-2015-P-0840-0026_Response_Letter_from_FDA_CDER_to_Dr__Richard_Sherm.pdf,"March 17, 2015",FDA CDER to Dr  Richard Sherm,2015
FDA-2015-P-0876-0003_Interim_Response_Letter_from_FDA_CDER_to_Escher_Fu.pdf,"March 19,2015",FDA CDER to Escher Fu,2015
FDA-2015-P-0876-0008_Response_Letter_from_FDA_CDER_to_Escher_Fund_for_A.pdf,"March 19, 2015",FDA CDER to Escher Fund for A,2015
FDA-2015-P-1090-0005_Interim_Response_Letter_from_FDA_CDER_to_Baker_Hos.pdf,8/18/15,FDA CDER to Baker Hos,2015
FDA-2015-P-1090-0006_Response_Letter_from_FDA_CDER_to_Baker___Hostetler.pdf,"November 30, 2023",FDA CDER to Baker   Hostetler,2015
FDA-2015-P-1103-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman__Ph.pdf,4/8/15,FDA CDER to Hyman  Ph,2015
FDA-2015-P-1153-0004_Interim_Response_Letter_from_FDA_CFSAN_to_Lachman_.pdf,4/10/15,FDA CFSAN to Lachman,2015
FDA-2015-P-1153-0006_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"April 8, 2015",FDA CDER to Lachman Consultan,2015
FDA-2015-P-1187-0003_Interim_Response_from_FDA_CFSAN_to_U_S__Right_to_K.pdf,"April 9, 2015",FDA CFSAN to U S  Right to K,2015
FDA-2015-P-1187-0004_Final_Response_Letter_from_FDA_to_U_S__Right_to_Kn.pdf,"October 26, 2017",FDA to U S  Right to Kn,2015
FDA-2015-P-1201-0011_Interim_Response_Letter_from_FDA_CFSAN_to_Tate___L.pdf,4/14/15,FDA CFSAN to Tate   L,2015
FDA-2015-P-1218-0004_Interim_Response_Letter_from_FDA_CDER_to_Hogan_Lov.pdf,"April 13, 2015",FDA CDER to Hogan Lov,2015
FDA-2015-P-1218-0005_Response_Letter_from_FDA_CDER_to_Hogan_Lovells_US_.pdf,"April 13, 
2015",FDA CDER to Hogan Lovells US,2015
FDA-2015-P-1279-0007_Interim_Response_Letter_from_FDA_CTP_to_Cigar_Righ.pdf,"April 16, 2015",FDA CTP to Cigar Righ,2015
FDA-2015-P-1279-0010_Interim_Response_from_FDA_CTP_to_Cigar_Rights_of_A.pdf,"April 20, 2016",FDA CTP to Cigar Rights of A,2015
FDA-2015-P-1279-0023_Final_Response_from_FDA_CDER_to_Cigar_Rights_of_Am.pdf,"October 25, 2016",FDA CDER to Cigar Rights of Am,2015
FDA-2015-P-1296-0022_Interim_Response_Letter_from_FDA_CDER_to_LeClairRy.pdf,4/22/15,FDA CDER to LeClairRy,2015
FDA-2015-P-1296-0025_Response_Letter_from_FDA_to_Jubilant_DraxImage.pdf,"April 17, 2015",FDA to Jubilant DraxImage,2015
FDA-2015-P-1431-0025_FDA_Final_Response_Denial_Letter.pdf,"March 20, 2008",,2015
FDA-2015-P-1433-0069_Interim_Response_Letter_from_FDA_CVM_to_Mr__Michae.pdf,"October 7, 2015",FDA CVM to Mr  Michae,2015
FDA-2015-P-1590-0004_Agency_Response_Letter_from_FDA_CDER_to_Qilu_Pharm.pdf,"May 6, 2015",FDA CDER to Qilu Pharm,2015
FDA-2015-P-1595-0004_Interim_Response_Letter_from_FDA_CDER_to_Cubist_Ph.pdf,"May 6, 2015",FDA CDER to Cubist Ph,2015
FDA-2015-P-1595-0005_Final_Response_Letter_from_FDA_CDER_to_Cubist_Phar.pdf,"May 7, 2015",FDA CDER to Cubist Phar,2015
FDA-2015-P-1669-0005_Interim_Response_from_FDA_CDER_to_RegCon_Solutions.pdf,"May 8, 2015",FDA CDER to RegCon Solutions,2015
FDA-2015-P-1674-0006_Interim_Response_Letter_from_FDA_CDRH_to_Globus_Me.pdf,"May 4, 2015",FDA CDRH to Globus Me,2015
FDA-2015-P-1752-0003_Interim_Response_Letter_from_FDA_CDER_to_Wiley_Rei.pdf,"May 15, 2015",FDA CDER to Wiley Rei,2015
FDA-2015-P-1899-0004_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"May 27, 2015",FDA CDER to Lachman C,2015
FDA-2015-P-1900-0003_Interim_Response_Letter_from_FDA_CDER_to_Heidi_Jon.pdf,"May 27,2015",FDA CDER to Heidi Jon,2015
FDA-2015-P-1924-0006_Interim_Response_Letter_from_FDA_CDRH_to_Hunton___.pdf,"October 08, 2015",FDA CDRH to Hunton,2015
FDA-2015-P-1977-0235_Interim_Response_Letter_from_FDA_CDER_to_Gerald_St.pdf,6/5/15,FDA CDER to Gerald St,2015
FDA-2015-P-1977-0254_Response_Letter_from_FDA_CDER_to_Gerald_Steel_Reda.pdf,6/5/15,FDA CDER to Gerald Steel Reda,2015
FDA-2015-P-2000-0010_Interim_Response_from_FDA_CDER_to_AbbVie__Inc_.pdf,"June 2, 2015",FDA CDER to AbbVie  Inc,2015
FDA-2015-P-2141-0004_Interim_Response_Letter_from_FDA_CDER_to_Heritage_.pdf,"June 11,2015",FDA CDER to Heritage,2015
FDA-2015-P-2142-0005_Interim_Response_Letter_from_FDA_CDER_to_Public_Ci.pdf,"June 11,2015",FDA CDER to Public Ci,2015
FDA-2015-P-2142-0006_Response_Letter_from_FDA_CDER_to_Public_Citizen.pdf,6/15/15,FDA CDER to Public Citizen,2015
FDA-2015-P-2247-0006_Interim_Response_Letter_from_FDA_CFSAN_to_Tricia_S.pdf,"June 19, 2015",FDA CFSAN to Tricia S,2015
FDA-2015-P-2373-0006_Interim_Response_Letter_from_FDA_CDER_to_Dr__David.pdf,7/14/15,FDA CDER to Dr  David,2015
FDA-2015-P-2373-0008_Response_Letter_from_FDA_CDER_to_Dr__David_K__Cund.pdf,"September
28,2015",FDA CDER to Dr  David K  Cund,2015
FDA-2015-P-2375-0005_Interim_Response_Letter_from_FDA_CDRH_to_Public_Ci.pdf,"October 06, 2015",FDA CDRH to Public Ci,2015
FDA-2015-P-2375-0006_Public_Citizen_Seprafilm_Final_Response.pdf,"January 29, 2021",,2015
FDA-2015-P-2626-0003_Interim_Response_Letter_from_FDA_CDER_to_US_WorldM.pdf,"July 22, 2015",FDA CDER to US WorldM,2015
FDA-2015-P-2626-0004_Final_Response_Letter_from_FDA_CDER_to_US_WorldMed.pdf,"July 21, 2015",FDA CDER to US WorldMed,2015
FDA-2015-P-2678-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Brian_C_.pdf,"July 27, 2015",FDA CFSAN to Brian C,2015
FDA-2015-P-2807-0004_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"July 30,2015",FDA CDER to Lachman C,2015
FDA-2015-P-2820-0057_Interim_Response_from_FDA_CDRH_to_Alston___Bird__L.pdf,"July 31, 2015",FDA CDRH to Alston   Bird  L,2015
FDA-2015-P-2820-0077_Interim_Response_Letter_from_FDA__to__Alston_and_B.pdf,"July 31, 2015",FDA  to  Alston and B,2015
FDA-2015-P-2820-0078_Second_interim_response_from_FDA_OP_to_Center_for_.pdf,8/4/15,FDA OP to Center for,2015
FDA-2015-P-3009-0010_Interim_Response_Letter_from_FDA_CFSAN_to_Physicia.pdf,"August 14, 2015",FDA CFSAN to Physicia,2015
FDA-2015-P-3107-0003_Interim_Response_Letter_from_FDA_CDRH_to_DuVal___A.pdf,"August 20,2015",FDA CDRH to DuVal   A,2015
FDA-2015-P-3139-0003_Interim_Response_Letter_from_CFSAN_to_Kimberly_Kid.pdf,"August 26, 2015",CFSAN to Kimberly Kid,2015
FDA-2015-P-3299-0005_Interim_Response_Letter_from_FDA_CDER_to_Clinipace.pdf,"September 9, 2015",FDA CDER to Clinipace,2015
FDA-2015-P-3299-0007_Final_Agency_Response__Relisting_Letter___4_26_16_.pdf,"September 9, 2015",,2015
FDA-2015-P-3364-0003_Interim_Response_Letter_from_CDRH_to_Leory_Hamilto.pdf,"September 8, 2015",CDRH to Leory Hamilto,2015
FDA-2015-P-3365-0003_Response_Letter_from_FDA_CDRH_to_Inrange_Systems__.pdf,9/18/15,FDA CDRH to Inrange Systems,2015
FDA-2015-P-3391-0006_Denial_Letter_from_CFSAN_to_Ashley_Franz__Patricia.pdf,"September 16, 2015",CFSAN to Ashley Franz  Patricia,2015
FDA-2015-P-3400-0004_Interim_Response_Letter_from_FDA_CDER_to_Lupin_Pha.pdf,"September 18,2015",FDA CDER to Lupin Pha,2015
FDA-2015-P-3400-0005_Response_Letter_from_FDA_CDER.pdf,9/23/15,FDA CDER,2015
FDA-2015-P-3407-0004_Interim_Response_Letter_from_FDA_CDER_to_RegCon_So.pdf,"September 24, 2015",FDA CDER to RegCon So,2015
FDA-2015-P-3408-0004_Interim_Response_from_FDA_CDER_to_Dr__David_K__Cun.pdf,"September 25, 2015",FDA CDER to Dr  David K  Cun,2015
FDA-2015-P-3408-0006_Response_Letter_from_FDA_CDER_to_Dr__David_K__Cund.pdf,"September
28,2015",FDA CDER to Dr  David K  Cund,2015
